%USGS SPCMSC mean beach slope derived from lidar surveys from 2005 and 2010
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low
289.449 41.9620 289.434 41.9368 0.1393 0.1864 0.0923
289.442 41.9670 289.427 41.9432 0.1904 0.2286 0.1522
289.434 41.9710 289.420 41.9472 0.1477 0.1778 0.1177
289.427 41.9760 289.416 41.9502 0.1718 0.2134 0.1301
289.421 41.9930 289.379 41.9420 0.1368 0.1544 0.1191
289.414 41.9970 289.360 41.9625 0.1114 0.1899 0.0330
289.404 42.0310 289.387 42.0179 0.0814 0.1175 0.0453
289.401 42.0390 289.380 42.0250 0.0747 0.0966 0.0527
289.394 42.0740 289.351 42.0711 0.1351 0.2789 0.0010
289.398 42.0820 289.361 42.0816 0.1917 0.2896 0.0938
289.361 42.1080 289.353 42.0941 0.1995 0.2498 0.1492
289.347 42.1190 289.339 42.1049 0.1338 0.1575 0.1100
289.341 42.1260 289.333 42.1115 0.1207 0.1621 0.0792
289.335 42.1330 289.327 42.1189 0.1209 0.2114 0.0303
289.332 42.1410 289.322 42.1236 0.0656 0.0763 0.0548
289.332 42.1500 289.319 42.1274 0.0435 0.0516 0.0354
289.333 42.1590 289.317 42.1301 0.0440 0.0501 0.0379
289.332 42.1680 289.313 42.1348 0.0552 0.0833 0.0271
289.332 42.1760 289.311 42.1388 0.0800 0.1025 0.0575
289.332 42.1840 289.308 42.1428 0.0969 0.1113 0.0824
289.325 42.1900 289.302 42.1511 0.0778 0.0950 0.0606
289.317 42.1950 289.296 42.1599 0.2016 0.2866 0.1166
289.304 42.2160 289.284 42.1942 0.1277 0.1798 0.0756
289.300 42.2240 289.284 42.2016 0.1522 0.1781 0.1264
289.294 42.2300 289.277 42.2081 0.1476 0.1662 0.1289
289.286 42.2340 289.268 42.2116 0.2297 0.2812 0.1781
289.277 42.2350 289.262 42.2170 0.1632 0.2105 0.1159
289.269 42.2380 289.254 42.2201 0.1684 0.2557 0.0810
289.264 42.2450 289.247 42.2259 0.1577 0.2129 0.1025
289.261 42.2530 289.242 42.2320 0.2881 0.3318 0.2444
289.244 42.2730 289.216 42.2433 0.1072 0.1141 0.1002
289.237 42.2780 289.211 42.2503 0.0488 0.0675 0.0301
289.228 42.2790 289.205 42.2544 0.0768 0.0894 0.0643
289.219 42.2800 289.198 42.2573 0.0529 0.0786 0.0272
289.214 42.2870 289.191 42.2606 0.0969 0.1479 0.0459
