%USGS SPCMSC mean beach slope derived from lidar surveys from 2000-2013, dunes from 2010 and 2013 in LMSL, Version 1.1 Compiled 3/29/17 
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low  dhigh   dlow month year
289.152 41.3335 289.188 41.3224 0.1560 0.2069 0.1051 7.3107 3.0965 11 2013
289.149 41.2219 289.193 41.3195 0.0950 0.1160 0.0739 7.1354 3.4902 11 2013
289.236 41.2691 289.206 41.3114 0.0874 0.1059 0.0689 7.4174 3.3369 11 2013
289.243 41.2749 289.222 41.3021 0.1102 0.2055 0.0149 7.2909 2.7041 11 2013
289.249 41.2806 289.231 41.3049 0.1865 0.2571 0.1160 13.4074 2.5010 11 2013
289.256 41.2860 289.237 41.3204 0.1216 0.1775 0.0657 7.8299 2.8822 11 2013
289.263 41.2911 289.246 41.3254 0.1124 0.1889 0.0358 5.4247 2.3425 11 2013
289.270 41.2956 289.252 41.3310 0.1403 0.2198 0.0608 30.0600 2.7618 11 2013
289.277 41.2995 289.261 41.3358 0.1511 0.2588 0.0434 28.4485 2.8744 11 2013
289.285 41.3029 289.271 41.3387 0.1256 0.3013 0.0010 8.5577 2.5262 11 2013
289.293 41.3056 289.283 41.3412 0.0848 0.1364 0.0331 4.1099 2.2892 11 2013
289.301 41.3078 289.294 41.3433 0.0992 0.1203 0.0781 5.5793 3.2606 11 2013
289.309 41.3094 289.300 41.3440 0.0933 0.1103 0.0763 5.1428 3.0503 11 2013
289.318 41.3106 289.311 41.3450 0.0972 0.1266 0.0679 4.4924 2.8283 11 2013
289.326 41.3113 289.323 41.3457 0.0997 0.1238 0.0755 4.5106 3.0295 11 2013
289.335 41.3117 289.335 41.3467 0.1095 0.1364 0.0826 4.4144 2.7628 11 2013
289.344 41.3118 289.341 41.3471 0.1043 0.1339 0.0747 3.9145 2.6108 11 2013
289.353 41.3118 289.353 41.3478 0.1085 0.1601 0.0568 3.1739 2.2106 11 2013
289.362 41.3116 289.365 41.3486 0.1127 0.1663 0.0590 3.5663 2.3611 11 2013
289.371 41.3112 289.370 41.3489 0.1114 0.1618 0.0609 3.2344 2.0744 11 2013
289.380 41.3107 289.382 41.3495 0.1147 0.1464 0.0830 3.9356 2.3256 11 2013
289.389 41.3102 289.394 41.3499 0.1211 0.1619 0.0802 4.2617 2.4695 11 2013
289.398 41.3094 289.405 41.3504 0.1168 0.1598 0.0738 4.0357 2.3726 11 2013
289.406 41.3085 289.411 41.3504 0.1134 0.1595 0.0672 3.9789 2.2985 11 2013
289.415 41.3073 289.423 41.3506 0.1204 0.1597 0.0812 3.7765 2.0983 11 2013
289.424 41.3058 289.435 41.3504 0.0999 0.1278 0.0719 3.7858 2.3142 11 2013
289.433 41.3041 289.441 41.3504 0.1043 0.1564 0.0522 4.2371 2.5134 11 2013
289.441 41.3020 289.452 41.3501 0.1120 0.1533 0.0706 4.8294 2.8185 11 2013
289.450 41.2997 289.464 41.3500 0.1005 0.1260 0.0750 4.5259 2.9842 11 2013
289.458 41.2971 289.475 41.3497 0.0992 0.1386 0.0598 5.6711 3.5266 11 2013
289.467 41.2943 289.481 41.3494 0.0821 0.1231 0.0411 5.5530 3.4778 11 2013
289.475 41.2913 289.492 41.3486 0.0584 0.1023 0.0146 4.3638 2.7374 11 2013
289.483 41.2882 289.503 41.3488 0.0561 0.0961 0.0162 2.6271 1.9518 11 2013
289.492 41.2850 289.514 41.3497 0.0983 0.1423 0.0543 2.5208 1.7009 11 2013
289.500 41.2819 289.520 41.3502 0.0931 0.1333 0.0528 2.3818 1.6614 11 2013
289.508 41.2787 289.530 41.3499 0.0922 0.1488 0.0356 2.4150 1.7427 11 2013
289.517 41.2757 289.539 41.3508 0.0958 0.2172 0.0010 5.4029 2.3577 11 2013
289.525 41.2730 289.544 41.3512 0.1038 0.2552 0.0010 6.3636 2.3320 11 2013
289.645 41.2596 289.549 41.3528 0.1142 0.2060 0.0224 5.0075 2.3021 11 2013
289.712 41.2444 289.727 41.3052 0.0901 0.1410 0.0392 4.5190 2.8663 11 2013
289.720 41.2416 289.736 41.2994 0.1532 0.2315 0.0749 6.6096 2.7643 11 2013
289.728 41.2386 289.741 41.2970 0.1421 0.2119 0.0722 5.8508 2.6186 11 2013
289.736 41.2354 289.750 41.2912 0.1116 0.1714 0.0519 3.5429 1.9203 11 2013
289.743 41.2322 289.760 41.2865 0.0841 0.1335 0.0347 2.8476 1.8455 11 2013
289.751 41.2289 289.765 41.2845 0.0619 0.0992 0.0246 3.1057 1.9080 11 2013
289.758 41.2256 289.770 41.2822 0.0603 0.0998 0.0208 3.4298 1.9528 11 2013
289.765 41.2225 289.779 41.2772 0.0983 0.1610 0.0356 2.8645 1.7724 11 2013
289.773 41.2196 289.785 41.2753 0.0896 0.1536 0.0257 3.6513 2.1888 11 2013
289.781 41.2170 289.795 41.2714 0.0736 0.1138 0.0333 4.8685 2.3062 11 2013
289.788 41.2148 289.804 41.2679 0.0801 0.1307 0.0295 4.8760 1.9598 11 2013
289.796 41.2130 289.809 41.2657 0.0948 0.1313 0.0583 5.2901 2.1533 11 2013
289.804 41.2117 289.819 41.2618 0.1308 0.1877 0.0740 5.3366 3.1352 11 2013
289.812 41.2109 289.830 41.2576 0.1307 0.2047 0.0567 4.7596 3.0842 11 2013
289.821 41.2105 289.835 41.2558 0.1220 0.2182 0.0258 5.2128 3.1397 11 2013
289.829 41.2104 289.846 41.2525 0.1063 0.1712 0.0414 5.5529 3.2931 11 2013
289.838 41.2105 289.857 41.2498 0.1217 0.1777 0.0657 5.3042 3.4108 11 2013
289.847 41.2106 289.869 41.2470 0.1318 0.2129 0.0508 6.5279 3.9268 11 2013
289.855 41.2107 289.874 41.2454 0.1208 0.2003 0.0412 6.8444 3.8225 11 2013
289.863 41.2105 289.885 41.2426 0.1199 0.1935 0.0463 6.6199 3.4950 11 2013
289.870 41.2100 289.899 41.2413 0.0589 0.1126 0.0052 6.2238 3.1846 11 2013
289.877 41.2090 289.914 41.2449 0.0828 0.1172 0.0484 7.6896 3.8754 11 2013
289.884 41.2076 289.926 41.2448 0.1120 0.1602 0.0638 7.2248 3.8369 11 2013
289.889 41.2057 289.943 41.2440 0.1572 0.2180 0.0963 8.5026 3.7793 11 2013
289.898 41.1976 289.996 41.2406 0.0923 0.1286 0.0560 10.9762 4.2926 11 2013
289.891 41.1602 289.979 41.2401 0.0977 0.1371 0.0583 6.0465 3.3835 11 2013
289.923 41.1608 290.008 41.2433 0.0629 0.0975 0.0283 12.7282 3.6810 11 2013
289.931 41.1605 290.023 41.2471 0.0793 0.1573 0.0012 4.0610 1.9553 11 2013
289.939 41.1600 290.033 41.2539 0.0601 0.0935 0.0267 4.3150 2.4011 11 2013
289.946 41.1591 290.027 41.2484 0.0604 0.1134 0.0075 4.2407 1.9489 11 2013
290.163 41.6159 290.064 41.6714 0.0269 0.0569 0.0010 2.5459 1.8490 11 2013
290.142 41.6525 290.065 41.6755 0.0303 0.0728 0.0010 2.7975 2.5711 11 2013
290.129 41.6711 290.066 41.6803 0.0424 0.1058 0.0010 3.8326 2.8472 11 2013
290.125 41.6766 290.067 41.6857 0.0552 0.1281 0.0010 4.2101 3.0654 11 2013
290.120 41.6872 290.067 41.6899 0.0666 0.1529 0.0010 3.7544 2.8549 11 2013
290.118 41.6923 290.068 41.6944 0.0627 0.1315 0.0010 3.3607 2.3712 11 2013
290.115 41.7030 290.069 41.7131 0.0702 0.1198 0.0207 3.2374 2.5840 11 2013
290.113 41.7149 290.070 41.7206 0.0802 0.1322 0.0283 4.6527 3.0740 11 2013
290.113 41.7215 290.071 41.7250 0.0884 0.1354 0.0414 5.9147 3.4359 11 2013
290.111 41.7359 290.070 41.7383 0.0987 0.1546 0.0428 7.7166 4.2905 11 2013
290.110 41.7436 290.070 41.7424 0.0923 0.1556 0.0289 8.1746 4.2828 11 2013
290.108 41.7517 290.069 41.7507 0.0907 0.1485 0.0329 9.4496 4.3105 11 2013
290.106 41.7599 290.069 41.7551 0.1013 0.1694 0.0332 9.2170 4.1382 11 2013
290.104 41.7683 290.068 41.7594 0.0989 0.1598 0.0380 8.1165 3.8616 11 2013
290.102 41.7767 290.067 41.7680 0.0724 0.1195 0.0253 3.8713 3.1994 11 2013
290.099 41.7852 290.065 41.7798 0.0797 0.1279 0.0316 5.5344 3.4520 11 2013
290.096 41.7937 290.064 41.7886 0.0809 0.1456 0.0162 5.8922 3.3904 11 2013
290.093 41.8022 290.063 41.7968 0.0624 0.1222 0.0026 5.3534 3.5293 11 2013
290.090 41.8107 290.061 41.8051 0.0613 0.1251 0.0010 5.4903 3.3421 11 2013
290.087 41.8193 290.060 41.8161 0.0701 0.1391 0.0011 4.1727 3.0352 11 2013
290.085 41.8278 290.059 41.8238 0.0733 0.1303 0.0163 3.3672 2.7351 11 2013
290.079 41.8449 290.054 41.8394 0.0764 0.1270 0.0258 6.2528 3.8234 11 2013
290.076 41.8535 290.052 41.8474 0.1044 0.1645 0.0443 11.3620 4.7526 11 2013
290.074 41.8620 290.050 41.8544 0.0978 0.1510 0.0447 14.9315 4.1781 11 2013
