%USGS SPCMSC mean beach slope derived from lidar surveys from 1999-2018, dunes from  2018 in LMSL, ver 1 Compiled 8/26/22  
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low  dhigh   dlow month year
262.920 25.9599 262.853 25.9594 0.1003 0.2058 0.0010 5.6190 1.9990  1 2018
262.917 25.9683 262.852 25.9658 0.0521 0.1210 0.0010 4.4087 1.9757  1 2018
262.918 25.9772 262.852 25.9736 0.0732 0.1113 0.0351 4.2396 1.7413  1 2018
262.920 25.9862 262.851 25.9853 0.0432 0.0633 0.0232 3.3366 1.7472  1 2018
262.920 25.9952 262.850 25.9934 0.0217 0.0590 0.0010 2.8104 1.6001  1 2018
262.919 26.0042 262.849 26.0040 0.0646 0.0963 0.0328 4.7352 1.8766  1 2018
262.919 26.0132 262.848 26.0121 0.0631 0.0811 0.0451 6.8674 2.0693  1 2018
262.920 26.0222 262.847 26.0234 0.0530 0.0581 0.0478 7.1026 2.1118  1 2018
262.918 26.0311 262.847 26.0342 0.0551 0.0656 0.0446 7.0391 2.0436  1 2018
262.918 26.0401 262.847 26.0431 0.0518 0.0725 0.0312 6.9928 2.2543  1 2018
262.919 26.0492 262.847 26.0539 0.0229 0.0459 0.0010 4.7401 1.7043  1 2018
262.919 26.0582 262.849 26.0615 0.0277 0.0450 0.0104 4.3869 1.7217  1 2018
262.920 26.0672 262.843 26.0720 0.0280 0.0499 0.0061 3.9480 1.9357  1 2018
262.922 26.0760 262.840 26.0829 0.0334 0.0569 0.0099 3.6877 1.9205  1 2018
262.923 26.0850 262.838 26.0930 0.0337 0.0421 0.0254 3.2282 1.6326  1 2018
262.923 26.0940 262.837 26.1047 0.0401 0.0488 0.0313 3.6854 1.4103  1 2018
262.924 26.1031 262.835 26.1149 0.0447 0.0558 0.0336 3.4117 1.5085  1 2018
262.925 26.1120 262.833 26.1246 0.0392 0.0465 0.0318 3.4450 1.4576  1 2018
262.926 26.1210 262.832 26.1342 0.0517 0.0647 0.0386 3.6440 1.4901  1 2018
262.928 26.1299 262.830 26.1453 0.0456 0.0610 0.0302 3.5943 2.2085  1 2018
262.929 26.1388 262.829 26.1540 0.0337 0.0594 0.0080 4.9144 2.0145  1 2018
262.931 26.1478 262.828 26.1652 0.0464 0.0542 0.0386 2.8493 1.8226  1 2018
262.933 26.1566 262.826 26.1745 0.0377 0.0487 0.0267 7.2183 1.5944  1 2018
262.934 26.1655 262.825 26.1824 0.0183 0.0408 0.0010 5.2597 2.3808  1 2018
262.935 26.1745 262.824 26.1928 0.0331 0.0469 0.0194 4.4480 1.9911  1 2018
262.937 26.1834 262.823 26.2006 0.0711 0.1076 0.0345 5.3789 1.6934  1 2018
262.938 26.1924 262.821 26.2116 0.0204 0.0355 0.0053 4.9513 1.9350  1 2018
262.938 26.2014 262.820 26.2187 0.0311 0.0463 0.0159 5.7852 2.2817  1 2018
262.941 26.2101 262.819 26.2260 0.0365 0.0642 0.0088 5.0822 1.8226  1 2018
262.944 26.2183 262.817 26.2368 0.0250 0.0390 0.0110 6.1158 1.8477  1 2018
262.945 26.2273 262.815 26.2473 0.0114 0.0164 0.0063 9.0815 2.1450  1 2018
