%USGS SPCMSC mean beach slope derived from lidar surveys from 2005 to 2016, dunes from 2016 in LMSL, ver 1 Compiled 8/20/19 
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low  dhigh   dlow month year
279.084 31.3061 278.836 31.5684 0.0426 0.0784 0.0068 3.7728 1.6908 11 2016
279.101 31.3150 278.838 31.5711 0.0427 0.0634 0.0221 4.4653 1.8274 11 2016
279.111 31.3324 278.840 31.5745 0.0579 0.0696 0.0462 2.7607 1.5427 11 2016
279.090 31.3614 278.843 31.5810 0.0488 0.0730 0.0246 2.1738 1.5418 11 2016
279.089 31.3800 278.845 31.5848 0.0482 0.0779 0.0185 1.8866 1.4236 11 2016
279.095 31.3992 278.846 31.5866 0.0514 0.0823 0.0205 2.8154 1.6844 11 2016
279.098 31.4189 278.846 31.5895 0.0324 0.0590 0.0057 3.2780 1.8530 11 2016
279.108 31.4347 278.850 31.5961 0.0351 0.0438 0.0265 2.3163 1.5953 11 2016
279.126 31.4427 278.852 31.6000 0.0471 0.0632 0.0309 2.7160 1.8230 11 2016
279.144 31.4523 278.856 31.6076 0.0423 0.0592 0.0254 2.1864 1.4434 11 2016
279.139 31.5281 278.863 31.6808 0.0629 0.1104 0.0155 6.9973 3.1713 11 2016
279.140 31.5474 278.866 31.6869 0.0241 0.0437 0.0045 3.2602 2.2482 11 2016
279.135 31.5837 278.871 31.7267 0.0288 0.0448 0.0129 3.1277 2.0757 11 2016
279.165 31.6094 278.914 31.7588 0.0592 0.0657 0.0528 2.1685 1.5815 11 2016
279.218 31.6241 278.953 31.8005 0.0142 0.0239 0.0045 2.9757 2.5277 11 2016
279.291 31.6649 279.019 31.8707 0.0446 0.0467 0.0424 3.3936 2.0296 11 2016
279.311 31.6701 279.032 31.8820 0.0356 0.0442 0.0270 3.3336 2.5666 11 2016
279.316 31.7025 279.061 31.9064 0.0847 0.0947 0.0747 4.4619 1.9119 11 2016
279.296 31.7064 279.064 31.9090 0.1199 0.1316 0.1082 4.1858 2.4458 11 2016
279.385 31.7623 279.101 31.9481 0.0189 0.0201 0.0177 2.2414 1.2944 11 2016
279.405 31.7568 279.104 31.9507 0.0195 0.0209 0.0181 2.1261 1.4531 11 2016
279.406 31.7931 279.121 31.9625 0.0300 0.0588 0.0012 2.1687 1.7387 11 2016
279.400 31.8120 279.132 31.9685 0.0209 0.0304 0.0114 2.2761 1.5801 11 2016
279.421 31.8369 279.154 31.9916 0.0227 0.0253 0.0201 3.3920 3.2110 11 2016
279.440 31.8394 279.157 32.0014 0.0393 0.0451 0.0334 5.8781 2.5951 11 2016
279.456 31.8501 279.158 32.0201 0.0247 0.0282 0.0212 3.7485 2.6205 11 2016
279.472 31.8864 279.128 32.0838 0.0276 0.0319 0.0234 3.5685 2.4975 11 2016
279.478 31.9051 279.141 32.1007 0.0328 0.0465 0.0191 2.6330 2.0790 11 2016
279.479 31.9250 279.154 32.1145 0.0259 0.0273 0.0245 3.4551 2.4911 11 2016
279.477 31.9448 279.195 32.1149 0.0447 0.0614 0.0279 3.7262 2.4432 11 2016
279.460 31.9805 279.226 32.1309 0.0333 0.0347 0.0319 3.0379 2.2539 11 2016
279.453 31.9989 279.247 32.1396 0.0294 0.0354 0.0233 3.4948 2.4328 11 2016
279.455 32.0171 279.271 32.1540 0.0332 0.0419 0.0246 3.9253 2.6643 11 2016
279.470 32.0281 279.289 32.1741 0.0300 0.0360 0.0240 4.5618 2.9778 11 2016
279.489 32.0356 279.306 32.1951 0.0412 0.0438 0.0387 3.9555 2.5685 11 2016
279.507 32.0440 279.325 32.2115 0.0318 0.0525 0.0112 3.2431 2.2121 11 2016
279.564 32.0616 279.388 32.2667 0.0319 0.0359 0.0279 2.7900 2.1770 11 2016
279.617 32.1085 279.479 32.3002 0.0469 0.0653 0.0284 3.9485 2.4445 11 2016
279.641 32.1397 279.517 32.3134 0.0131 0.0158 0.0104 3.5224 2.2784 11 2016
279.766 32.1348 279.558 32.3675 0.0376 0.0715 0.0036 4.7701 2.6321 11 2016
279.975 32.3404 279.846 32.5695 0.0275 0.0520 0.0030 2.7898 2.2488 11 2016
279.995 32.3415 279.864 32.5828 0.0192 0.0316 0.0068 3.7291 2.5861 11 2016
280.014 32.3455 279.880 32.5913 0.0532 0.0657 0.0407 4.8214 2.5584 11 2016
280.032 32.3540 279.903 32.5988 0.0524 0.0670 0.0377 4.2156 2.5186 11 2016
280.049 32.3648 279.922 32.6032 0.0403 0.0464 0.0341 3.7708 2.6728 11 2016
280.066 32.3758 279.937 32.6061 0.0220 0.0353 0.0087 3.3670 2.1830 11 2016
280.101 32.3957 279.979 32.6115 0.0528 0.1560 0.0010 2.5486 1.9256 11 2016
280.168 32.4382 280.044 32.6472 0.0535 0.0611 0.0459 3.4809 2.3109 11 2016
280.184 32.4502 280.060 32.6547 0.0442 0.0611 0.0273 3.6823 2.4073 11 2016
280.200 32.4620 280.080 32.6634 0.0630 0.0919 0.0341 3.2106 2.1796 11 2016
280.217 32.4726 280.097 32.6725 0.0651 0.0911 0.0391 3.2150 2.2840 11 2016
280.252 32.4928 280.118 32.7138 0.0594 0.0825 0.0364 3.3058 1.8398 11 2016
280.269 32.5029 280.129 32.7363 0.0497 0.0567 0.0427 2.6302 1.8952 11 2016
280.303 32.5235 280.161 32.7582 0.0128 0.0151 0.0105 3.5910 2.2360 11 2016
280.318 32.5370 280.179 32.7650 0.0583 0.0694 0.0472 3.5923 2.3243 11 2016
280.331 32.5520 280.196 32.7765 0.0324 0.0460 0.0188 3.5087 2.1277 11 2016
280.348 32.5629 280.212 32.7849 0.0543 0.0595 0.0490 3.7290 2.2480 11 2016
280.366 32.5712 280.230 32.7928 0.0460 0.0608 0.0311 3.8243 2.1263 11 2016
280.419 32.5996 280.277 32.8196 0.0435 0.0526 0.0345 2.8680 1.9810 11 2016
