%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on 20210120_1525
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %runup_usefrac    %month    %year
   235.754     41.9897    235.78863     41.99768     0      0.08742      0.11592      0.05893         8.03         6.26 3A 1.00     4  2016
   235.757     41.9857    235.79014     41.99246     0      0.05595      0.09502      0.01688         5.20         3.06  4 1.00     4  2016
   235.758     41.9809    235.79415     41.98524     0      0.08889      0.17117      0.00661        17.06         5.63 3A 0.99     4  2016
   235.757     41.9760    235.79438     41.97910     0      0.05983      0.10229      0.01736         5.09         0.83 3A 1.00     4  2016
   235.755     41.9711    235.79388     41.97283     0      0.04915      0.08524      0.01307         6.85         4.50 3A 1.00     4  2016
   235.754     41.9663    235.79362     41.96655     0      0.05086      0.10246      0.00000         6.94         2.52 3A 1.00     4  2016
   235.753     41.9614    235.79304     41.96027     0      0.02347      0.03478      0.01215         9.63         2.45 3A 0.98     4  2016
   235.749     41.9470    235.79185     41.94767     0      0.08231      0.12332      0.04129         6.69         5.69  5 1.00     4  2016
   235.744     41.9380    235.79519     41.94103     0      0.08566      0.11750      0.05383         7.21         3.63  4 1.00     4  2016
   235.743     41.9331    235.79490     41.93419     0      0.07597      0.14536      0.00658        10.02         4.10  4 1.00     4  2016
   235.741     41.9284    235.79480     41.92687     0      0.09592      0.14894      0.04290         9.77         4.87  4 1.00     4  2016
   235.739     41.9237    235.79449     41.92064     0      0.08203      0.09540      0.06866         9.91         4.78  4 1.00     4  2016
   235.738     41.9191    235.79420     41.91615     0      0.07562      0.08577      0.06546         8.04         3.58  4 1.00     4  2016
   235.735     41.9146    235.79369     41.91166     0      0.09689      0.12181      0.07196         9.16         4.42 3A 1.00     4  2016
   235.733     41.9102    235.79311     41.90716     0      0.08266      0.10191      0.06341         6.99         4.27 3A 1.00     4  2016
   235.730     41.9059    235.79240     41.90189     0      0.05117      0.07171      0.03064         8.83         3.88 3A 1.00     4  2016
   235.728     41.9016    235.79200     41.89648     0      0.06261      0.08258      0.04264         8.93         3.24 3A 1.00     4  2016
   235.725     41.8973    235.79144     41.89198     0      0.06779      0.11953      0.01604         7.41         3.73 3A 1.00     4  2016
   235.722     41.8930    235.79032     41.88581     0      0.07699      0.10681      0.04717         9.12         4.09 3A 1.00     4  2016
   235.720     41.8887    235.78912     41.88043     0      0.06881      0.08955      0.04808         7.40         1.41 3A 1.00     4  2016
   235.717     41.8844    235.78800     41.87515     0      0.05770      0.07508      0.04032         8.63         2.68 3A 1.00     4  2016
   235.714     41.8804    235.78671     41.87072     0      0.04563      0.07893      0.01233         9.17         3.83 3A 1.00     4  2016
   235.711     41.8765    235.78564     41.86628     0      0.04805      0.07556      0.02054         7.42         2.44 3A 1.00     4  2016
   235.708     41.8729    235.78433     41.86099     0      0.04614      0.08614      0.00614         7.94         2.22 3A 1.00     4  2016
   235.704     41.8697    235.78352     41.85745     0      0.06753      0.17860      0.00000         4.58         1.68 3A 1.00     4  2016
   235.700     41.8665    235.78256     41.85395     0      0.07291      0.12190      0.02391         7.97         1.40 3A 1.00     4  2016
   235.696     41.8630    235.78108     41.84856     0      0.08266      0.10454      0.06077         7.70         2.41 3A 1.00     4  2016
   235.693     41.8595    235.77943     41.84340     0      0.06482      0.12894      0.00070         8.94         1.41 3A 1.00     4  2016
   235.689     41.8564    235.77779     41.83815     0      0.11164      0.17752      0.04576         8.88         0.79 3A 1.00     4  2016
   235.685     41.8536    235.77619     41.83387     0      0.08534      0.12651      0.04417         9.06         5.23 3A 1.00     4  2016
   235.680     41.8509    235.77479     41.83045     0      0.08009      0.12220      0.03797         2.86         1.42 3A 1.00     4  2016
   235.676     41.8489    235.77277     41.82620     0      0.08108      0.14754      0.01463         7.12         4.83 3A 1.00     4  2016
   235.671     41.8469    235.77162     41.82366     0      0.07791      0.13801      0.01780         9.05         4.26 3A 1.00     4  2016
   235.667     41.8448    235.76870     41.81682     0      0.09928      0.21685      0.00000         4.19         1.63 3A 1.00     4  2016
   235.662     41.8422    235.76538     41.80909     0      0.12030      0.18532      0.05528         8.46         5.88 3A 1.00     4  2016
   235.658     41.8396    235.76240     41.80319     0      0.09729      0.13837      0.05621         7.25         4.19 3A 1.00     4  2016
   235.654     41.8372    235.75892     41.79739     0      0.06001      0.10225      0.01777         7.86         3.22 3A 0.98     4  2016
   235.649     41.8351    235.75752     41.79497     0      0.04598      0.08945      0.00251         5.81         4.21 3A 1.00     4  2016
   235.644     41.8335    235.75586     41.79262     0      0.06010      0.08620      0.03401         4.85         4.10 3A 1.00     4  2016
   235.640     41.8322    235.75402     41.79032     0      0.06556      0.09878      0.03233         7.69         4.39 3A 1.00     4  2016
   235.637     41.8283    235.75256     41.78890     0      0.05797      0.07401      0.04193         6.57         2.02 3A 0.77     4  2016
   235.639     41.8235    235.75014     41.78695     0      0.06940      0.10852      0.03028         5.44         1.91 3A 0.68     4  2016
   235.641     41.8190    235.74708     41.78554     0      0.05368      0.07475      0.03261         5.47         1.69 6A 0.65     4  2016
   235.647     41.8113    235.74491     41.78434     0      0.11046      0.19604      0.02488        12.91         2.92 2A 1.00     4  2016
   235.672     41.7879    235.74785     41.77775     0      0.12151      0.24427      0.00000        13.32         4.48 2A 1.00     4  2016
   235.699     41.7653    235.75174     41.77390     0      0.12415      0.12910      0.11921         9.91         5.05 6A 1.00     4  2016
   235.716     41.7542    235.74604     41.77079     1      0.61373      0.64869      0.57876         6.95         0.77 1A 0.78     4  2016
   235.725     41.7500    235.75189     41.77143     0      0.08409      0.33579      0.00000         4.49         2.96 2A 1.00     4  2016
   235.729     41.7478    235.75340     41.77060     2      2.06857          NaN          NaN        11.20         0.00 6A 0.67     4  2016
   235.742     41.7404    235.76600     41.76665     0      0.06263      0.15810      0.00000         2.76         1.78 3A 1.00     4  2016
   235.747     41.7387    235.77445     41.76167     0      0.12075      0.21281      0.02869        14.14         2.03 6B 1.00     4  2016
   235.752     41.7373    235.77758     41.75719     0      0.06879      0.15940      0.00000        13.61         3.11 2A 1.00     4  2016
   235.757     41.7360    235.78031     41.75548     0      0.12282      0.27475      0.00000        15.75         2.36 6A 1.00     4  2016
   235.762     41.7347    235.78457     41.75372     0      0.09845      0.18870      0.00819        13.26         0.79 2A 0.60     4  2016
   235.766     41.7334    235.78356     41.75107     2      0.72122          NaN          NaN        14.68        -0.00 1A 0.65     4  2016
   235.771     41.7325    235.78615     41.75150     0      0.09706      0.24261      0.00000         6.30         4.46 6A 1.00     4  2016
