%USGS SPCMSC mean beach slope derived from lidar surveys from 2004 to 2017, dunes from 2014 in LMSL, ver 1 Compiled 9/17/19 
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low  dhigh   dlow month year
289.367 43.0642 289.337 43.0872 0.0533 0.0622 0.0444 3.5760 2.1030 11 2014
289.378 43.0670 289.344 43.0930 0.1360 0.1876 0.0845 4.7997 2.2637 11 2014
289.390 43.0697 289.345 43.1012 0.1917 0.2567 0.1267 3.6024 2.2784 11 2014
289.411 43.1685 289.393 43.1735 0.1152 0.1363 0.0941 4.7742 2.6162 11 2014
289.428 43.2298 289.413 43.2324 0.1422 0.1606 0.1238 5.8202 3.1472 11 2014
289.429 43.2477 289.409 43.2588 0.0506 0.0667 0.0346 6.9085 3.5065 11 2014
289.432 43.2564 289.413 43.2672 0.0513 0.0788 0.0238 6.6417 3.2587 11 2014
289.437 43.2644 289.415 43.2712 0.0862 0.0898 0.0826 3.5309 1.8579 11 2014
289.459 43.3032 289.444 43.3193 0.0368 0.0488 0.0249 3.8121 2.9241 11 2014
289.470 43.3020 289.447 43.3223 0.0494 0.0574 0.0413 4.8629 3.2419 11 2014
289.473 43.3107 289.458 43.3326 0.0658 0.0775 0.0540 3.8480 2.7250 11 2014
289.480 43.3178 289.464 43.3375 0.0636 0.0861 0.0411 4.1850 2.8790 11 2014
289.491 43.3223 289.480 43.3439 0.0796 0.0876 0.0717 4.6039 2.0809 11 2014
289.539 43.3260 289.526 43.3470 0.0811 0.1203 0.0420 3.5062 2.6772 11 2014
289.560 43.3332 289.555 43.3550 0.1374 0.1533 0.1215 4.5144 2.0184 11 2014
289.572 43.3361 289.560 43.3564 0.1284 0.1388 0.1180 4.1243 1.9023 11 2014
289.589 43.3596 289.575 43.3852 0.1376 0.1435 0.1317 4.7026 1.7936 11 2014
289.592 43.3682 289.576 43.3933 0.0426 0.0485 0.0366 4.0817 2.3487 11 2014
289.597 43.3765 289.586 43.3981 0.0467 0.0547 0.0386 3.9956 2.4226 11 2014
289.615 43.3881 289.608 43.4012 0.1549 0.1843 0.1254 4.4445 1.7526 11 2014
289.628 43.4034 289.615 43.4190 0.0689 0.0844 0.0534 3.0736 2.2016 11 2014
289.662 43.4116 289.632 43.4362 0.0773 0.0935 0.0612 5.0301 3.1001 11 2014
289.670 43.4181 289.637 43.4388 0.1032 0.1072 0.0992 5.2069 2.9129 11 2014
289.677 43.4252 289.648 43.4420 0.0880 0.1110 0.0650 4.4467 3.2997 11 2014
289.679 43.4338 289.616 43.4726 0.1220 0.1312 0.1128 5.1224 3.6094 11 2014
289.669 43.4638 289.615 43.4949 0.1020 0.1311 0.0730 4.4007 3.0707 11 2014
289.662 43.4709 289.616 43.4992 0.1111 0.1431 0.0791 6.0743 3.3953 11 2014
289.658 43.4793 289.621 43.5074 0.0912 0.0981 0.0843 5.6518 3.5778 11 2014
289.660 43.4969 289.630 43.5190 0.1155 0.1862 0.0448 3.2139 2.2089 11 2014
289.693 43.4934 289.644 43.5338 0.0433 0.0474 0.0392 4.7280 3.0160 11 2014
289.692 43.5158 289.672 43.5410 0.0442 0.0754 0.0130 3.3848 2.6368 11 2014
289.695 43.5233 289.678 43.5400 0.0628 0.0694 0.0562 4.3733 2.9523 11 2014
289.705 43.5282 289.694 43.5462 0.0756 0.1040 0.0473 5.5835 3.1655 11 2014
289.717 43.5321 289.698 43.5494 0.0889 0.0929 0.0849 5.8929 2.9909 11 2014
289.763 43.5340 289.739 43.5543 0.0662 0.0880 0.0444 4.8665 2.8385 11 2014
289.775 43.5351 289.752 43.5534 0.0959 0.1322 0.0596 6.1817 3.0727 11 2014
289.786 43.5389 289.761 43.5565 0.1683 0.2199 0.1166 4.9366 2.7266 11 2014
289.790 43.5466 289.769 43.5630 0.0556 0.0604 0.0508 4.0154 2.5924 11 2014
290.180 43.6963 290.172 43.7243 0.0543 0.0638 0.0448 4.6845 2.9186 11 2014
290.189 43.7016 290.177 43.7266 0.0621 0.0701 0.0542 4.4234 2.9104 11 2014
290.200 43.7065 290.188 43.7299 0.0314 0.0412 0.0217 4.1523 2.1903 11 2014
290.211 43.7090 290.198 43.7331 0.0752 0.0820 0.0684 2.9229 1.8019 11 2014
290.277 43.7526 290.262 43.7717 0.0774 0.1237 0.0312 5.5021 2.9701 11 2014
290.283 43.7603 290.270 43.7778 0.0975 0.1030 0.0920 9.7249 3.9079 11 2014
