%USGS SPCMSC mean beach slope derived from lidar surveys from 2005 to 2016, dunes from 2016 in LMSL, ver 1 Compiled 8/27/19 
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low  dhigh   dlow month year
280.910 32.9858 280.675 33.0924 0.0657 0.1066 0.0248 2.6662 2.2633 11 2016
280.956 33.0060 280.753 33.1352 0.0240 0.0249 0.0232 2.5749 1.9360 11 2016
280.977 33.0004 280.769 33.1430 0.0293 0.0543 0.0043 3.8629 2.0919 11 2016
280.997 32.9951 280.782 33.1545 0.0578 0.0766 0.0390 2.1807 1.9737 11 2016
281.102 32.9811 280.820 33.2323 0.0714 0.1332 0.0095 6.1716 2.6706 11 2016
281.122 32.9867 280.819 33.2551 0.0756 0.0842 0.0669 8.2437 2.5987 11 2016
281.152 33.0305 280.828 33.2929 0.0548 0.0961 0.0135 4.5553 2.6123 11 2016
281.146 33.0843 280.832 33.3039 0.0235 0.0419 0.0051 3.8154 2.1764 11 2016
281.145 33.1023 280.833 33.3073 0.0115 0.0200 0.0029 4.3709 2.1969 11 2016
281.147 33.1561 280.838 33.3310 0.0327 0.0563 0.0091 2.6340 1.9260 11 2016
281.162 33.2086 280.849 33.3633 0.2046 0.2709 0.1384 4.3256 2.6046 11 2016
281.175 33.2216 280.851 33.3763 0.0587 0.1005 0.0168 5.4627 2.7117 11 2016
281.193 33.2323 280.857 33.3927 0.0390 0.0624 0.0156 5.1820 2.8580 11 2016
281.210 33.2426 280.863 33.4028 0.1026 0.1727 0.0325 3.6924 2.1544 11 2016
281.230 33.2478 280.870 33.4149 0.0842 0.1057 0.0627 4.4059 2.4469 11 2016
281.249 33.2565 280.877 33.4269 0.0755 0.0971 0.0540 5.0472 2.8252 11 2016
281.256 33.2727 280.888 33.4411 0.0584 0.0814 0.0354 4.1727 2.5637 11 2016
281.263 33.2897 280.895 33.4559 0.0581 0.0855 0.0307 2.6183 2.0483 11 2016
281.273 33.3058 280.905 33.4713 0.0608 0.0796 0.0420 4.2340 2.5390 11 2016
281.286 33.3201 280.917 33.4857 0.0567 0.0773 0.0361 5.6029 2.8729 11 2016
281.300 33.3337 280.934 33.5011 0.0533 0.0651 0.0414 4.3799 2.6079 11 2016
281.312 33.3485 280.948 33.5122 0.0531 0.0736 0.0326 3.1157 1.9907 11 2016
281.318 33.3828 280.977 33.5417 0.0704 0.0946 0.0461 2.9223 2.3023 11 2016
281.305 33.3970 280.981 33.5495 0.0537 0.0690 0.0385 4.2538 2.6488 11 2016
281.289 33.4092 280.985 33.5564 0.0579 0.0894 0.0263 3.7590 2.0961 11 2016
281.277 33.4240 280.991 33.5639 0.0638 0.1048 0.0229 3.2766 2.1106 11 2016
281.278 33.4415 281.006 33.5806 0.0723 0.1242 0.0203 2.5069 1.7719 11 2016
281.287 33.4575 281.021 33.5978 0.0566 0.0795 0.0337 3.0606 2.0516 11 2016
281.298 33.4728 281.041 33.6187 0.0516 0.0753 0.0278 3.6013 2.1453 11 2016
281.313 33.4864 281.060 33.6388 0.0701 0.0835 0.0567 3.7781 2.5111 11 2016
281.329 33.4974 281.081 33.6572 0.0644 0.0848 0.0440 3.5238 2.4638 11 2016
281.346 33.5091 281.106 33.6781 0.0625 0.0982 0.0269 3.6075 2.3275 11 2016
281.357 33.5244 281.129 33.6992 0.0485 0.0912 0.0058 3.1109 2.1399 11 2016
281.367 33.5402 281.154 33.7193 0.0661 0.0883 0.0439 3.9173 2.5003 11 2016
281.381 33.5539 281.181 33.7394 0.0479 0.0669 0.0290 3.1327 2.1557 11 2016
281.394 33.5684 281.208 33.7575 0.0576 0.0865 0.0287 3.1241 2.0191 11 2016
281.404 33.5846 281.237 33.7751 0.0566 0.0796 0.0336 3.8923 2.4583 11 2016
281.414 33.6004 281.262 33.7889 0.0396 0.0592 0.0201 2.9714 2.3564 11 2016
281.431 33.6114 281.293 33.8036 0.0577 0.0711 0.0442 4.0769 2.7029 11 2016
281.451 33.6180 281.324 33.8165 0.0516 0.0568 0.0464 4.5526 2.4935 11 2016
281.471 33.6248 281.359 33.8278 0.0665 0.0936 0.0395 3.3243 2.2473 11 2016
281.488 33.6349 281.388 33.8371 0.0490 0.0572 0.0409 4.1869 2.5899 11 2016
281.503 33.6483 281.418 33.8456 0.0437 0.0638 0.0235 4.2233 2.2513 11 2016
281.519 33.6604 281.444 33.8496 0.0532 0.0900 0.0164 2.9638 2.0488 11 2016
281.540 33.6641 281.473 33.8586 0.0397 0.0543 0.0250 3.2939 2.1669 11 2016
281.557 33.6732 281.500 33.8689 0.0490 0.0655 0.0324 4.7156 2.4196 11 2016
281.584 33.6897 281.546 33.8825 0.0590 0.0846 0.0334 4.6399 2.4449 11 2016
281.604 33.6857 281.571 33.8890 0.0314 0.0415 0.0214 4.8742 2.3262 11 2016
281.626 33.6863 281.601 33.8963 0.0801 0.2147 0.0010 3.8114 2.0334 11 2016
281.647 33.6854 281.628 33.9015 0.0133 0.0329 0.0010 3.9067 1.9087 11 2016
281.667 33.6792 281.655 33.9063 0.0655 0.0787 0.0524 4.1919 2.2989 11 2016
281.686 33.6703 281.685 33.9096 0.0593 0.0916 0.0269 3.9141 2.1970 11 2016
281.705 33.6619 281.712 33.9119 0.0596 0.0957 0.0236 4.0461 2.0721 11 2016
281.725 33.6558 281.737 33.9142 0.0582 0.0978 0.0185 3.7052 2.1563 11 2016
281.764 33.6661 281.787 33.9137 0.0573 0.0712 0.0435 4.2954 2.3414 11 2016
281.784 33.6725 281.812 33.9143 0.0566 0.0710 0.0422 4.2374 2.1774 11 2016
281.805 33.6722 281.837 33.9141 0.0695 0.1313 0.0078 2.8775 2.0835 11 2016
281.826 33.6681 281.862 33.9127 0.0251 0.0580 0.0010 3.6995 2.0275 11 2016
281.845 33.6600 281.883 33.9097 0.0792 0.1307 0.0278 2.8142 1.9743 11 2016
281.864 33.6509 281.904 33.9066 0.0519 0.0680 0.0358 3.7839 2.4229 11 2016
281.883 33.6432 281.929 33.9018 0.0386 0.0552 0.0219 5.9306 2.3596 11 2016
281.901 33.6335 281.951 33.8953 0.0472 0.0668 0.0276 4.3411 2.7611 11 2016
281.918 33.6223 281.973 33.8896 0.0669 0.0946 0.0392 4.7655 2.3245 11 2016
281.938 33.6155 281.991 33.8678 0.0201 0.0286 0.0115 4.9260 2.8270 11 2016
281.959 33.6133 282.008 33.8538 0.0518 0.1056 0.0010 4.2366 2.8365 11 2016
282.218 33.8385 282.040 33.8527 0.0771 0.1060 0.0481 4.1370 2.5520 11 2016
282.223 33.8561 282.045 33.8856 0.0188 0.0353 0.0023 3.0928 2.1328 11 2016
282.230 33.8731 282.051 33.9035 0.0629 0.1317 0.0010 3.0986 2.1336 11 2016
282.242 33.8881 282.061 33.9245 0.0873 0.1149 0.0598 3.9073 2.7223 11 2016
282.241 33.9061 282.071 33.9465 0.0755 0.1021 0.0489 5.3150 3.2970 11 2016
282.234 33.9230 282.080 33.9664 0.0745 0.1003 0.0487 4.1827 2.7087 11 2016
282.242 33.9397 282.091 33.9882 0.0715 0.0872 0.0558 4.8983 2.6543 11 2016
282.257 33.9526 282.097 34.0066 0.0727 0.1159 0.0294 4.4420 2.9650 11 2016
282.275 33.9623 282.105 34.0259 0.0719 0.0934 0.0504 5.4727 2.9727 11 2016
282.292 33.9729 282.114 34.0463 0.0660 0.0990 0.0331 5.5583 3.0783 11 2016
282.306 33.9869 282.121 34.0662 0.0338 0.0630 0.0045 4.3358 2.7728 11 2016
282.316 34.0028 282.131 34.0871 0.0607 0.1281 0.0010 2.8722 2.0982 11 2016
282.309 34.0376 282.147 34.1190 0.0847 0.1437 0.0257 2.6312 1.8872 11 2016
282.306 34.0555 282.154 34.1353 0.0670 0.0874 0.0467 3.4517 2.4927 11 2016
282.305 34.0734 282.163 34.1514 0.0506 0.0718 0.0294 4.0402 2.3102 11 2016
282.307 34.0912 282.175 34.1695 0.0245 0.0381 0.0108 3.4056 2.2346 11 2016
282.318 34.1069 282.188 34.1863 0.0278 0.0303 0.0253 3.5067 1.9337 11 2016
282.325 34.1236 282.203 34.2041 0.0566 0.0682 0.0451 4.9679 3.1779 11 2016
282.323 34.1414 282.212 34.2153 0.0523 0.0765 0.0281 5.0592 3.2002 11 2016
282.334 34.1533 282.224 34.2337 0.0306 0.0547 0.0065 4.9101 2.1881 11 2016
282.356 34.1532 282.237 34.2483 0.0773 0.1308 0.0238 5.1673 3.3643 11 2016
282.377 34.1554 282.250 34.2626 0.0511 0.0663 0.0358 5.3986 2.7696 11 2016
282.393 34.1659 282.265 34.2779 0.0531 0.0698 0.0364 5.4555 2.6475 11 2016
282.404 34.1813 282.283 34.2916 0.0082 0.0146 0.0018 2.3873 1.6573 11 2016
282.414 34.1974 282.300 34.3100 0.0430 0.1087 0.0010 2.9640 1.9590 11 2016
282.419 34.2147 282.313 34.3228 0.0613 0.0941 0.0285 3.3067 2.0227 11 2016
282.448 34.2361 282.354 34.3507 0.0590 0.0893 0.0288 4.2851 2.6241 11 2016
282.464 34.2476 282.369 34.3634 0.0872 0.1092 0.0653 5.3953 3.0533 11 2016
282.479 34.2612 282.387 34.3785 0.0566 0.0788 0.0343 5.9994 3.1774 11 2016
282.490 34.2767 282.407 34.3932 0.0787 0.1264 0.0310 6.0204 2.9354 11 2016
282.501 34.2922 282.423 34.4049 0.0929 0.1064 0.0795 5.5284 2.7334 11 2016
282.519 34.2996 282.440 34.4159 0.0848 0.1012 0.0685 5.8379 2.7849 11 2016
282.541 34.2993 282.457 34.4265 0.0874 0.1404 0.0345 6.7458 2.4688 11 2016
