%USGS SPCMSC mean beach slope derived from lidar surveys from 1999-2018, dunes from  2018 in LMSL, ver 3 Compiled 1/30/26  
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low  dhigh   dlow month year
271.598 30.0596 271.584 30.2069 0.0704 0.1514 0.0010 1.5721 1.3084 11 2018
271.588 30.0594 271.577 30.2047 0.0228 0.0403 0.0053 2.2179 1.4559 11 2018
271.578 30.0594 271.569 30.2020 0.0444 0.0962 0.0010 2.5400 1.4840 11 2018
271.567 30.0596 271.562 30.2006 0.0199 0.0484 0.0010 2.6231 1.5610 11 2018
271.557 30.0599 271.556 30.2002 0.0218 0.0491 0.0010 2.0293 1.4890 11 2018
271.547 30.0603 271.549 30.1994 0.0330 0.0665 0.0010 2.2394 1.6302 11 2018
271.537 30.0621 271.539 30.1999 0.0199 0.0341 0.0056 2.4913 1.5210 11 2018
271.527 30.0642 271.528 30.2026 0.0198 0.0402 0.0010 3.2240 2.1959 11 2018
271.516 30.0651 271.515 30.2049 0.0124 0.0274 0.0010 2.3948 1.4336 11 2018
271.506 30.0661 271.507 30.2073 0.0149 0.0287 0.0011 2.5391 1.1721 11 2018
271.496 30.0669 271.495 30.2123 0.0168 0.0270 0.0066 3.9397 1.9698 11 2018
271.475 30.0674 271.479 30.2227 0.0238 0.0669 0.0010 3.1356 1.4146 11 2018
271.465 30.0674 271.472 30.2267 0.0639 0.0834 0.0444 1.5415 0.8957 11 2018
271.444 30.0669 271.400 30.2241 0.0188 0.0316 0.0060 2.5454 1.4180 11 2018
271.434 30.0677 271.386 30.2254 0.0258 0.0614 0.0010 2.4792 1.6331 11 2018
271.423 30.0690 271.372 30.2278 0.0123 0.0182 0.0064 3.3419 1.7953 11 2018
271.414 30.0660 271.363 30.2284 0.0130 0.0210 0.0050 3.3407 1.9417 11 2018
271.405 30.0615 271.347 30.2305 0.0134 0.0191 0.0076 5.2222 1.8047 11 2018
271.395 30.0598 271.330 30.2313 0.0325 0.0618 0.0031 3.4544 2.1315 11 2018
271.384 30.0595 271.311 30.2359 0.0095 0.0150 0.0040 2.0151 1.4572 11 2018
271.374 30.0594 271.303 30.2390 0.0531 0.1469 0.0010 2.1589 1.4309 11 2018
271.364 30.0591 271.290 30.2433 0.0094 0.0173 0.0014 3.6537 1.6967 11 2018
271.354 30.0570 271.279 30.2445 0.0318 0.1164 0.0010 3.8265 1.9497 11 2018
271.344 30.0547 271.258 30.2405 0.0258 0.0798 0.0010 3.7031 1.7718 11 2018
271.323 30.0347 271.108 30.2320 0.0822 0.1022 0.0622 1.6729 1.0120 11 2018
271.324 30.0257 271.086 30.2212 0.0476 0.1057 0.0010 1.5773 0.9797 11 2018
271.329 30.0422 271.151 30.0150 0.0236 0.0405 0.0068 0.6406 0.6406  1 2015
271.326 30.0169 271.166 29.9920 0.0183 0.0292 0.0073 0.6923 0.6923  1 2015
271.328 30.0080 271.169 29.9834 0.0208 0.0267 0.0148 0.7818 0.7818  1 2015
271.330 29.9994 271.171 29.9749 0.0183 0.0227 0.0140 0.8378 0.8378  1 2015
271.334 29.9908 271.170 29.9706 0.0094 0.0249 0.0010 1.1167 1.1167  1 2015
271.337 29.9731 271.172 29.9622 0.0137 0.0371 0.0010 1.7115 1.1535  1 2015
271.337 29.9641 271.176 29.9545 0.0210 0.0369 0.0051 1.1141 1.1141  1 2015
271.335 29.9553 271.177 29.9473 0.0236 0.0549 0.0010 1.0364 1.0364  1 2015
271.334 29.9463 271.178 29.9408 0.0163 0.0305 0.0022 0.8698 0.8698  1 2015
271.334 29.9373 271.177 29.9327 0.0182 0.0446 0.0010 1.3835 1.0760  1 2015
271.334 29.9283 271.179 29.9260 0.0130 0.0171 0.0090 0.9288 0.9288  1 2015
