%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on 20210120_1521
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %runup_usefrac    %month    %year
   238.645     35.7890    238.65366     35.79420     0      0.12674      0.13812      0.11535        28.29         4.60 1A 1.00     4  2016
   238.649     35.7858    238.65784     35.79147     0      0.12918      0.19681      0.06156        29.91         5.19 1A 1.00     4  2016
   238.653     35.7822    238.66161     35.78721     0      0.12013      0.20969      0.03057        18.72         5.87 1A 0.83     4  2016
   238.657     35.7782    238.66572     35.78426     0      0.13092      0.17387      0.08798        21.77         4.20 6A 1.00     4  2016
   238.660     35.7740    238.66909     35.77801     0      0.13016      0.17290      0.08741        21.67         0.53 1A 1.00     4  2016
   238.663     35.7698    238.67434     35.77146     0      0.12895      0.19191      0.06599        23.36         4.43 2A 1.00     4  2016
   238.666     35.7653    238.67540     35.76530     0      0.03264      0.15376      0.00000         9.50         3.07 10A 1.00     4  2016
   238.668     35.7606    238.67347     35.75913     0      0.11939      0.25020      0.00000        23.00         1.59 2A 1.00     4  2016
   238.670     35.7557    238.68060     35.75669     0      0.11865      0.26675      0.00000        20.77         2.43 2A 1.00     4  2016
   238.672     35.7507    238.68428     35.75088     0      0.12502      0.25375      0.00000        29.51         6.98  4 1.00     4  2016
   238.673     35.7454    238.68329     35.74559     0      0.13836      0.23457      0.04214        23.74         2.81 2A 1.00     4  2016
   238.673     35.7402    238.68286     35.74109     0      0.12929      0.23953      0.01904        11.09         1.14 2A 0.98     4  2016
   238.673     35.7349    238.68324     35.73529     0      0.13765      0.14329      0.13200        12.97         4.68 2A 1.00     4  2016
   238.674     35.7296    238.68250     35.72917     0      0.09050      0.27646      0.00000         7.88         1.45 2A 1.00     4  2016
   238.674     35.7243    238.68414     35.72404     0      0.10993      0.22274      0.00000        16.78         2.41 2A 1.00     4  2016
   238.675     35.7191    238.68695     35.72070     0      0.10385      0.19630      0.01139         8.20         1.08 2A 0.96     4  2016
   238.677     35.7141    238.68611     35.71652     0      0.07248      0.10102      0.04394         7.58         2.61 3A 0.99     4  2016
   238.679     35.7095    238.68535     35.71348     0      0.14365      0.26853      0.01878        11.99         3.78 2A 1.00     4  2016
   238.682     35.7050    238.68857     35.70993     0      0.06631      0.24389      0.00000        16.51         3.44  4 1.00     4  2016
   238.685     35.7004    238.69197     35.70765     0      0.06928      0.08777      0.05079         5.29         2.47  4 1.00     4  2016
   238.686     35.6954    238.69436     35.70388     0      0.09213      0.22043      0.00000        11.50         0.60 2A 0.72     4  2016
   238.688     35.6905    238.70145     35.69850     0      0.09194      0.18304      0.00084         9.03         3.06 2A 0.99     4  2016
   238.691     35.6864    238.70911     35.69245     0      0.11491      0.11767      0.11215         6.74         2.62 6B 1.00     4  2016
   238.695     35.6829    238.71093     35.68570     0      0.08279      0.24153      0.00000         8.64         1.99 2A 1.00     4  2016
   238.698     35.6784    238.71339     35.67840     0      0.11298      0.15253      0.07344        11.11         1.39 2A 0.92     4  2016
   238.701     35.6737    238.71494     35.67304     0      0.09810      0.18718      0.00902         7.07         4.93  4 1.00     4  2016
   238.703     35.6688    238.71511     35.66951     0      0.10114      0.21753      0.00000         9.72         1.55 2A 0.87     4  2016
   238.707     35.6658    238.71497     35.66691     0      0.12435      0.22335      0.02534         4.92         3.32 2A 1.00     4  2016
   238.712     35.6632    238.71482     35.66446     0      0.09686      0.15924      0.03448         6.39         1.11 2A 0.97     4  2016
   238.716     35.6608    238.71706     35.66532     0      0.08493      0.19941      0.00000         5.51         2.26 2A 1.00     4  2016
   238.721     35.6584    238.72019     35.66712     0      0.06845      0.09811      0.03880        15.73         4.37 3A 1.00     4  2016
   238.726     35.6564    238.72700     35.66619     0      0.07285      0.17427      0.00000        12.70         1.53 2A 0.97     4  2016
   238.731     35.6547    238.73473     35.66313     0      0.09608      0.19405      0.00000         9.91         0.51 2A 0.63     4  2016
   238.736     35.6526    238.74137     35.66302     0      0.06307      0.10447      0.02168         7.40         2.65 2A 1.00     4  2016
   238.741     35.6502    238.74678     35.65887     0      0.08559      0.15923      0.01195         4.67         1.77 2A 1.00     4  2016
   238.745     35.6476    238.74936     35.65730     0      0.09890      0.29638      0.00000        10.74         3.83 2A 1.00     4  2016
   238.750     35.6452    238.75512     35.65462     0      0.12760      0.20558      0.04962         8.04         2.52 6B 1.00     4  2016
   238.755     35.6429    238.75851     35.65249     1      0.86302      0.94513      0.78092         4.84         0.44 2A 0.93     4  2016
   238.760     35.6408    238.76341     35.65323     0      0.13342      0.19105      0.07579         5.98         1.74 2A 0.99     4  2016
   238.764     35.6388    238.76970     35.65186     0      0.08768      0.16725      0.00812         8.35         2.70 2A 1.00     4  2016
   238.769     35.6372    238.77722     35.65194     0      0.07149      0.24480      0.00000         5.48         1.32 2A 0.86     4  2016
   238.775     35.6358    238.78410     35.64935     0      0.05161      0.06877      0.03445         9.49         2.48 3A 1.00     4  2016
   238.779     35.6337    238.78960     35.64520     0      0.09456      0.13590      0.05323         9.17         1.56 3A 0.94     4  2016
   238.784     35.6318    238.79412     35.64122     0      0.10359      0.19147      0.01571         5.97         1.65 2A 1.00     4  2016
   238.789     35.6301    238.79749     35.64168     0      0.12114      0.14766      0.09462         7.18         1.65 1A 1.00     4  2016
   238.795     35.6288    238.80010     35.63898     0      0.10183      0.15571      0.04795        16.71         1.08  4 0.97     4  2016
   238.800     35.6277    238.80169     35.63675     0      0.09420      0.21540      0.00000        12.78         2.92 2A 0.99     4  2016
   238.810     35.6263    238.81632     35.64202     0      0.08227      0.12846      0.03608         8.12         2.80 3A 1.00     4  2016
   238.815     35.6242    238.82553     35.63945     0      0.10216      0.15667      0.04764        14.15         2.32 2A 1.00     4  2016
   238.819     35.6212    238.83279     35.63576     0      0.07238      0.14872      0.00000        17.24         2.25 2A 1.00     4  2016
   238.824     35.6191    238.83739     35.63169     0      0.12504      0.21688      0.03321        12.60         1.52 2A 0.91     4  2016
   238.829     35.6179    238.84158     35.62637     0      0.14383      0.24073      0.04693         3.76         2.38 2A 1.00     4  2016
   238.834     35.6157    238.84556     35.62109     0      0.12123      0.25257      0.00000        14.89         1.82 2A 1.00     4  2016
   238.837     35.6116    238.84908     35.61723     0      0.08980      0.23888      0.00000        16.06         2.21 1A 1.00     4  2016
   238.841     35.6079    238.85141     35.61514     0      0.11723      0.20034      0.03412         1.95         1.54  4 1.00     4  2016
   238.845     35.6049    238.85358     35.61192     0      0.09153      0.19359      0.00000         8.25         3.19  4 1.00     4  2016
   238.850     35.6021    238.85534     35.60857     0      0.09826      0.17921      0.01731         7.16         3.18  4 1.00     4  2016
   238.854     35.5983    238.85991     35.60403     0      0.10177      0.24958      0.00000        11.79         5.37 2A 1.00     4  2016
   238.857     35.5940    238.86707     35.60059     0      0.12218      0.25864      0.00000         6.22         2.51 2A 1.00     4  2016
   238.860     35.5897    238.87153     35.59652     0      0.03158      0.16545      0.00000        12.21         1.63  4 0.94     4  2016
   238.863     35.5854    238.87440     35.59270     0      0.07947      0.14630      0.01265         7.24         1.58  4 1.00     4  2016
   238.866     35.5812    238.87690     35.58678     0      0.09979      0.12347      0.07612        13.21         3.69  4 1.00     4  2016
   238.869     35.5769    238.87874     35.58157     0      0.08708      0.22499      0.00000         6.88         3.27 2A 1.00     4  2016
   238.872     35.5723    238.88481     35.57687     0      0.12975      0.24052      0.01898         5.78         2.81  4 1.00     4  2016
   238.875     35.5678    238.88676     35.57270     0      0.09440      0.19125      0.00000         8.01         2.32 2A 1.00     4  2016
   238.877     35.5634    238.88931     35.56787     0      0.02923      0.15616      0.00000         3.65         0.55 10A 1.00     4  2016
   238.880     35.5590    238.89183     35.56298     0      0.08501      0.13373      0.03629         3.64         0.62 2A 0.78     4  2016
   238.883     35.5546    238.89469     35.55916     0      0.10448      0.13941      0.06956         8.48         0.58 2A 0.65     4  2016
   238.887     35.5505    238.89644     35.55377     0      0.11461      0.26422      0.00000        14.14         0.54 2A 0.76     4  2016
   238.891     35.5470    238.89798     35.55044     1      0.44530      0.53519      0.35540         8.82         0.76 2A 0.70     4  2016
   238.895     35.5434    238.90202     35.54802     0      0.07094      0.11615      0.02574         3.66         2.18 2A 0.99     4  2016
   238.898     35.5398    238.90467     35.54435     0      0.11368      0.20447      0.02288         7.43         5.05 1B 1.00     4  2016
   238.902     35.5361    238.90810     35.54010     0      0.09384      0.24041      0.00000         8.07         1.25 2A 0.99     4  2016
   238.906     35.5325    238.91223     35.53742     0      0.10548      0.12642      0.08455        13.55         1.80 2A 1.00     4  2016
   238.910     35.5290    238.91573     35.53358     0      0.10860      0.17019      0.04702        12.68         0.52 2A 0.74     4  2016
   238.914     35.5253    238.91980     35.52978     0      0.09552      0.20511      0.00000         8.28         3.01 2A 1.00     4  2016
   238.916     35.5205    238.92352     35.52648     1      0.23573      0.34403      0.12743        16.88         0.00 2A 0.98     4  2016
   238.920     35.5170    238.92681     35.52304     0      0.12568      0.18533      0.06604        20.27         2.57 2A 1.00     4  2016
   238.925     35.5147    238.93051     35.51891     0      0.12947      0.25286      0.00607        16.42         2.92 2A 1.00     4  2016
   238.928     35.5108    238.93498     35.51504     0      0.09461      0.19793      0.00000        21.55         2.23 2A 1.00     4  2016
   238.931     35.5066    238.93825     35.51167     0      0.11705      0.27388      0.00000        16.39         2.94 2A 1.00     4  2016
   238.933     35.5019    238.94305     35.50817     0      0.14606      0.20705      0.08507        18.19         2.46 2A 1.00     4  2016
   238.938     35.4993    238.94703     35.50734     0      0.13157      0.22697      0.03618        12.97         0.77 2A 0.62     4  2016
   238.942     35.4964    238.95215     35.50355     0      0.13991      0.28969      0.00000        26.65         0.54 2A 0.73     4  2016
   238.946     35.4927    238.95511     35.49892     0      0.10022      0.23190      0.00000        14.15         3.62 2A 1.00     4  2016
   238.949     35.4886    238.95859     35.49509     0      0.12115      0.27172      0.00000        15.94         1.44 2A 1.00     4  2016
   238.951     35.4843    238.96171     35.49213     0      0.11363      0.21809      0.00917        22.33         1.06 2A 0.96     4  2016
   238.956     35.4824    238.96594     35.48975     0      0.12073      0.17828      0.06319        24.92         3.47 2A 1.00     4  2016
   238.961     35.4801    238.96930     35.48832     0      0.12797      0.23769      0.01825        16.22         3.39 2A 1.00     4  2016
   238.965     35.4767    238.97319     35.48437     1      0.27486      0.31636      0.23336         8.39         0.50 2A 0.89     4  2016
   238.968     35.4726    238.97613     35.48182     0      0.09621      0.24454      0.00000         3.77         1.65 2A 1.00     4  2016
   238.972     35.4690    238.98200     35.47585     1      0.78251      0.94531      0.61971         9.75         0.53 2A 0.86     4  2016
   238.976     35.4660    238.98648     35.47183     0      0.12199      0.20245      0.04152        30.09         1.72 2A 1.00     4  2016
   238.981     35.4629    238.98934     35.46811     0      0.08925      0.11062      0.06787        12.20         2.57 2A 1.00     4  2016
   238.985     35.4599    238.99134     35.46496     0      0.07828      0.16321      0.00000        29.61         2.12 2A 1.00     4  2016
   238.990     35.4574    238.99427     35.46228     0      0.09493      0.20844      0.00000        14.19         2.45 2A 1.00     4  2016
   238.994     35.4547    238.99796     35.46051     0      0.11499      0.20626      0.02371        11.01         1.72 2A 1.00     4  2016
   238.999     35.4516    239.00235     35.46046     0      0.13169      0.21110      0.05229        14.37         1.67 2A 1.00     4  2016
   239.004     35.4506    239.00563     35.46316     0      0.13702      0.24592      0.02812        11.86         1.06 2A 0.79     4  2016
   239.009     35.4502    239.00918     35.46243     0      0.11652      0.24980      0.00000         3.93         3.51 2A 1.00     4  2016
   239.014     35.4496    239.01404     35.46076     0      0.12889      0.17476      0.08302        11.85         2.14 2A 1.00     4  2016
   239.019     35.4481    239.02102     35.45926     0      0.11857      0.18209      0.05504         3.92         2.61 2A 1.00     4  2016
   239.029     35.4440    239.03572     35.45695     0      0.09953      0.27896      0.00000         6.45         2.41 2A 0.97     4  2016
   239.033     35.4403    239.04221     35.45481     0      0.12104      0.19300      0.04908        10.38         1.61 2A 0.98     4  2016
   239.037     35.4368    239.04810     35.45237     0      0.09315      0.19324      0.00000        10.21         2.37  4 1.00     4  2016
   239.042     35.4349    239.04891     35.44990     0      0.05959      0.13005      0.00000         6.85         2.51 2A 1.00     4  2016
   239.047     35.4335    239.05139     35.44778     0      0.10854      0.23798      0.00000         5.38         1.96 2A 0.87     4  2016
   239.052     35.4321    239.05639     35.44804     0      0.12506      0.21932      0.03080         7.23         0.97 2A 1.00     4  2016
   239.057     35.4306    239.05925     35.44665     0      0.07559      0.18414      0.00000         6.48         0.57 2A 1.00     4  2016
   239.062     35.4293    239.06334     35.44733     0      0.08443      0.17959      0.00000         2.75         0.81 2A 0.61     4  2016
   239.067     35.4279    239.07194     35.44758     0      0.10115      0.22430      0.00000         3.49         1.30 2A 0.99     4  2016
   239.072     35.4266    239.08279     35.44820     0      0.07902      0.19107      0.00000         4.18         2.84 2A 1.00     4  2016
   239.077     35.4256    239.09154     35.44920     0      0.10976      0.25057      0.00000         5.97         2.91 6B 1.00     4  2016
   239.083     35.4248    239.09950     35.44470     0      0.13157      0.21190      0.05124         8.22         1.20 2A 0.99     4  2016
   239.088     35.4228    239.10573     35.43969     0      0.04915      0.06061      0.03770         7.69         3.39 1B 1.00     4  2016
   239.092     35.4206    239.11103     35.43514     0      0.06163      0.15222      0.00000         1.87         1.69 3A 1.00     4  2016
   239.097     35.4183    239.11552     35.43006     0      0.07260      0.10765      0.03756         6.02         3.79 1B 1.00     4  2016
   239.101     35.4151    239.11902     35.42441     0      0.05750      0.06909      0.04591        10.96         2.61 1B 1.00     4  2016
   239.105     35.4117    239.12232     35.41877     0      0.05368      0.06803      0.03934         7.28         2.61 3A 1.00     4  2016
   239.109     35.4081    239.12514     35.41384     0      0.05013      0.06769      0.03257         2.25         1.59 3A 1.00     4  2016
   239.113     35.4045    239.12740     35.40885     0      0.07242      0.14491      0.00000        11.24         3.53 6B 1.00     4  2016
   239.116     35.4004    239.13070     35.40234     0      0.03744      0.04677      0.02812         3.54         1.97 3A 1.00     4  2016
   239.118     35.3954    239.13242     35.39637     0      0.02884      0.04445      0.01323         3.47         2.01 3A 1.00     4  2016
   239.119     35.3902    239.13443     35.38940     0      0.03279      0.04866      0.01692         5.00         2.95 3A 1.00     4  2016
   239.120     35.3850    239.13508     35.38310     0      0.03409      0.06770      0.00048         2.42         1.63 3A 1.00     4  2016
   239.120     35.3797    239.13560     35.37684     0      0.01106      0.03996      0.00000         2.13         1.51 3A 1.00     4  2016
   239.121     35.3745    239.13369     35.37145     0      0.06573      0.22543      0.00000         4.26         3.86 6B 1.00     4  2016
   239.122     35.3693    239.13029     35.36999     2      2.44804          NaN          NaN        11.46        -0.00 1A 0.71     4  2016
   239.123     35.3587    239.13791     35.36004     0      0.03115      0.06717      0.00000         2.95         2.60  4 1.00     4  2016
   239.123     35.3534    239.13790     35.35331     0      0.07434      0.10376      0.04493         6.90         1.90  4 0.88     4  2016
   239.123     35.3481    239.13679     35.34704     0      0.03426      0.05363      0.01490         3.18         3.00  4 1.00     4  2016
   239.123     35.3428    239.13594     35.34080     0      0.04934      0.08240      0.01628         5.74         3.01  4 1.00     4  2016
   239.122     35.3376    239.13465     35.33551     0      0.04530      0.07163      0.01898         2.26         2.01  4 1.00     4  2016
   239.121     35.3324    239.13332     35.33027     0      0.05135      0.11083      0.00000         7.76         3.87  4 1.00     4  2016
   239.120     35.3273    239.13196     35.32496     0      0.05244      0.10339      0.00148         5.66         1.60  4 1.00     4  2016
   239.118     35.3223    239.13022     35.31974     0      0.04594      0.08534      0.00654         6.01         1.60  4 1.00     4  2016
   239.116     35.3175    239.12888     35.31444     0      0.07418      0.13587      0.01248        12.15         6.29  4 1.00     4  2016
   239.113     35.3132    239.12678     35.30934     0      0.06292      0.14385      0.00000         5.55         1.62  4 1.00     4  2016
   239.110     35.3088    239.12463     35.30424     0      0.08983      0.14020      0.03947         5.80         1.57  4 1.00     4  2016
   239.108     35.3038    239.12233     35.29823     0      0.10400      0.15733      0.05067        26.17         4.08  4 1.00     4  2016
   239.107     35.2987    239.11949     35.29237     0      0.13149      0.19105      0.07193        29.89         5.03  4 1.00     4  2016
   239.105     35.2938    239.11594     35.28727     0      0.07271      0.19742      0.00000        29.27         2.86 2A 1.00     4  2016
   239.103     35.2890    239.11164     35.28116     0      0.08592      0.17273      0.00000        23.99         3.32 2A 1.00     4  2016
   239.100     35.2842    239.11074     35.27786     0      0.07257      0.17233      0.00000        11.14         2.41 2A 1.00     4  2016
   239.098     35.2793    239.11132     35.27397     0      0.12924      0.15059      0.10789        18.96         5.47  4 1.00     4  2016
   239.096     35.2744    239.10497     35.27322     2      1.40391          NaN          NaN         8.92         0.00 2A 0.73     4  2016
   239.094     35.2695    239.10604     35.26761     0      0.10981      0.22027      0.00000         9.09         0.59 2A 0.98     4  2016
   239.093     35.2644    239.10521     35.26170     0      0.13406      0.22157      0.04655        12.98         2.03 2A 1.00     4  2016
   239.094     35.2591    239.10300     35.25720     0      0.12830      0.21356      0.04303         9.48         0.94  5 0.89     4  2016
   239.094     35.2539    239.10199     35.25472     2      1.34986          NaN          NaN        15.23         0.00 1A 0.71     4  2016
   239.095     35.2487    239.10349     35.25203     0      0.12287      0.22232      0.02342        10.51         2.17  4 1.00     4  2016
   239.098     35.2447    239.10468     35.24830     0      0.12143      0.23253      0.01034        11.54         3.26  4 1.00     4  2016
   239.102     35.2414    239.10644     35.24448     0      0.12186      0.15111      0.09261        13.11         1.01 1A 0.93     4  2016
   239.106     35.2376    239.10994     35.24041     0      0.13154      0.15252      0.11056        19.42         0.81 1A 0.86     4  2016
   239.110     35.2337    239.11298     35.23679     1      0.57677      0.72507      0.42847        24.13        -0.00  5 0.78     4  2016
   239.113     35.2297    239.11795     35.23369     0      0.10041      0.19445      0.00637         5.89         3.86  5 1.00     4  2016
   239.117     35.2259    239.12309     35.22952     0      0.11953      0.17791      0.06114        15.49         3.83  4 1.00     4  2016
   239.121     35.2223    239.12667     35.22298     2      1.29237          NaN          NaN        14.76        -0.00 1A 0.71     4  2016
   239.128     35.2150    239.13871     35.21635     0      0.10496      0.27145      0.00000        12.82         1.72  5 0.80     4  2016
   239.131     35.2105    239.13948     35.21431     0      0.10943      0.14856      0.07030        10.66         1.20 2A 0.98     4  2016
   239.147     35.1997    239.15032     35.20625     0      0.11921      0.24276      0.00000         5.79         3.17 6A 1.00     4  2016
   239.152     35.1987    239.15495     35.20348     0      0.11348      0.26069      0.00000        11.09         2.00 2A 1.00     4  2016
