%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on February 20, 2026
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %month    %year
   235.575     42.2673    235.59109     42.26488     0      0.07367      0.10081      0.04653        19.94         5.86 3A     4  2016
   235.575     42.2732    235.59116     42.27560     0      0.03563      0.08489      0.00000         7.79         4.36  7     4  2016
   235.572     42.2903    235.59065     42.29355     0      0.05075      0.08561      0.01588         6.74         4.44  7     4  2016
   235.539     42.4001    235.57249     42.41442     0      0.07349      0.10495      0.04202         5.15         4.38  7     4  2016
   235.579     42.5459    235.59991     42.54033     0      0.06324      0.07517      0.05131         9.42         5.83  7     4  2016
   235.580     42.5518    235.60298     42.54992     0      0.02690      0.12227      0.00000        13.05         4.78  7     4  2016
   235.581     42.5575    235.60504     42.55327     0      0.04768      0.10569      0.00000        11.14         6.25  7     4  2016
   235.494     42.7273    235.50234     42.74097     0      0.04785      0.27435      0.00000         5.66         2.18  7     4  2016
   235.468     42.7478    235.48516     42.75185     0      0.06743      0.11534      0.01953        11.88         5.68  7     4  2016
   235.465     42.7529    235.48329     42.75705     0      0.06118      0.09882      0.02355         8.89         5.22  7     4  2016
   235.456     42.7804    235.47632     42.78429     0      0.06419      0.09433      0.03406         8.76         5.11  7     4  2016
   235.449     42.7887    235.46376     42.81320     0      0.06325      0.11681      0.00969         9.58         5.22  7     4  2016
   235.416     42.8126    235.45757     42.82079     0      0.04972      0.07315      0.02630        14.74         3.81  7     4  2016
   235.433     42.8726    235.46103     42.85891     0      0.08166      0.11449      0.04882         6.94         4.56  7     4  2016
   235.471     42.9086    235.48681     42.89822     0      0.08837      0.13269      0.04406         8.37         6.61 3A     4  2016
   235.476     42.9129    235.49059     42.90388     0      0.07153      0.14164      0.00142         8.55         6.33 3A     4  2016
   235.479     42.9174    235.49484     42.91037     0      0.06355      0.12874      0.00000         8.28         6.14 3A     4  2016
   235.489     42.9322    235.50751     42.93076     0      0.09723      0.11876      0.07570         9.46         4.58 3A     4  2016
   235.495     42.9416    235.51067     42.93661     0      0.10632      0.13761      0.07502        10.54         5.56 3A     4  2016
   235.502     42.9510    235.51423     42.94331     0      0.07368      0.10864      0.03871         8.75         3.83 3A     4  2016
   235.505     42.9619    235.52119     42.95690     0      0.07219      0.10936      0.03503         9.03         3.14 3A     4  2016
   235.510     42.9722    235.52691     42.96969     0      0.05717      0.12506      0.00000         9.22         5.47 3A     4  2016
   235.521     42.9932    235.53772     42.99356     0      0.07160      0.10964      0.03355         7.78         5.53  7     4  2016
   235.527     43.0098    235.54173     43.00388     0      0.07635      0.10032      0.05239         7.92         5.82  7     4  2016
   235.528     43.0156    235.54540     43.01338     0      0.05626      0.12138      0.00000         7.32         3.80  7     4  2016
   235.530     43.0214    235.54653     43.01686     0      0.05440      0.13300      0.00000         6.82         4.39  7     4  2016
   235.536     43.0379    235.55264     43.03417     0      0.05305      0.11241      0.00000         7.68         3.89  7     4  2016
   235.540     43.0550    235.55939     43.05158     0      0.00090      0.03020      0.00000         3.28         0.98 3A     4  2016
   235.542     43.0608    235.55882     43.05615     0      0.04394      0.13301      0.00000         6.59         2.17  7     4  2016
   235.544     43.0724    235.56212     43.06939     0      0.05811      0.08422      0.03200         8.24         4.20  7     4  2016
   235.546     43.0780    235.56290     43.07446     0      0.00864      0.04973      0.00000        10.19         2.25  7     4  2016
   235.546     43.0898    235.56461     43.08769     0      0.03778      0.05698      0.01858         8.69         3.24  7     4  2016
   235.546     43.0957    235.56652     43.09653     0      0.03574      0.05488      0.01659         8.53         3.35  7     4  2016
   235.545     43.1016    235.56669     43.10104     0      0.04359      0.06673      0.02044         7.81         3.07  7     4  2016
   235.548     43.1241    235.57071     43.12125     0      0.09657      0.13543      0.05771         6.20         4.41  7     4  2016
   235.551     43.1296    235.57573     43.12614     0      0.07239      0.10826      0.03651         7.12         2.79  7     4  2016
   235.553     43.1351    235.57733     43.12951     0      0.06514      0.08416      0.04613         7.63         2.99  7     4  2016
   235.554     43.1408    235.57906     43.13379     0      0.09977      0.12748      0.07206         8.76         3.21  7     4  2016
   235.561     43.1499    235.58043     43.13810     0      0.05900      0.09226      0.02574         6.52         2.96  7     4  2016
   235.567     43.1598    235.58509     43.15110     0      0.07273      0.09544      0.05003         9.72         3.59  7     4  2016
   235.569     43.1654    235.58852     43.15974     0      0.09168      0.11708      0.06628         9.54         3.35  7     4  2016
   235.571     43.1710    235.59078     43.16577     0      0.10904      0.15395      0.06412         9.72         4.49  7     4  2016
   235.573     43.1763    235.59296     43.17274     0      0.03161      0.04750      0.01573         7.97         3.60  7     4  2016
   235.575     43.1819    235.59459     43.17704     0      0.04129      0.05435      0.02824         8.00         3.54  7     4  2016
   235.576     43.1878    235.59775     43.18551     0      0.03266      0.05267      0.01265         7.88         3.64  7     4  2016
   235.577     43.1935    235.59912     43.18987     0      0.02838      0.03983      0.01694        14.59         3.62  7     4  2016
   235.578     43.1991    235.60075     43.19418     0      0.04417      0.05444      0.03390        28.91         3.33  7     4  2016
   235.581     43.2106    235.60419     43.21186     0      0.02692      0.04491      0.00894        28.27         3.66  7     4  2016
   235.618     43.3483    235.64337     43.34208     0      0.03749      0.13630      0.00000         5.84         2.89  7     4  2016
   235.644     43.3746    235.65468     43.34980     0      0.03423      0.04803      0.02042         6.30         2.92  7     4  2016
   235.652     43.3818    235.67082     43.36876     0      0.06733      0.08768      0.04699         9.39         3.80  7     4  2016
   235.656     43.3866    235.67629     43.37680     0      0.05813      0.07498      0.04128         9.36         3.40  7     4  2016
   235.660     43.3906    235.67920     43.38067     0      0.07201      0.08826      0.05577         9.49         3.02  7     4  2016
   235.664     43.3945    235.68191     43.38467     0      0.07907      0.09983      0.05832         8.00         3.68  7     4  2016
   235.675     43.4075    235.69002     43.39668     0      0.06525      0.10373      0.02676         9.26         3.44  7     4  2016
   235.679     43.4122    235.69529     43.40469     0      0.08664      0.11824      0.05503         8.86         3.74  7     4  2016
   235.682     43.4173    235.70021     43.41286     0      0.07085      0.10568      0.03602         9.51         3.05  7     4  2016
   235.685     43.4224    235.70255     43.41701     0      0.07460      0.12222      0.02699         8.43         3.08  7     4  2016
   235.690     43.4317    235.70707     43.42532     0      0.05723      0.10503      0.00943         8.89         3.87  7     4  2016
   235.694     43.4363    235.70949     43.42941     0      0.10448      0.14365      0.06532         9.27         3.61  7     4  2016
   235.696     43.4415    235.71396     43.43774     0      0.07075      0.11151      0.02999         7.73         3.16  7     4  2016
   235.701     43.4503    235.71567     43.44205     0      0.05293      0.09767      0.00819        10.44         4.05  7     4  2016
   235.704     43.4552    235.72042     43.45033     0      0.08458      0.11549      0.05367         9.83         3.42  7     4  2016
   235.707     43.4602    235.72245     43.45449     0      0.06673      0.10507      0.02838        10.29         3.28  7     4  2016
   235.708     43.4653    235.72622     43.46206     0      0.10335      0.14277      0.06394        10.17         4.54  7     4  2016
   235.714     43.4749    235.72907     43.46796     0      0.08064      0.10620      0.05508         8.55         6.13  7     4  2016
   235.718     43.4853    235.73445     43.47981     0      0.07652      0.12660      0.02644         9.06         4.42  7     4  2016
   235.721     43.4906    235.73625     43.48405     0      0.06014      0.08759      0.03269         9.26         3.92  7     4  2016
