%USGS SPCMSC mean beach slope derived from lidar surveys from 1998 to 2018, dunes from 2018 in LMSL, ver 1 Compiled 9/26/19 
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low  dhigh   dlow month year
271.706 30.1295 271.686 30.2281 0.0142 0.0240 0.0044 2.3663 1.3933 10 2018
271.745 30.1207 271.734 30.2357 0.0316 0.0553 0.0079 3.4576 2.0216 10 2018
271.762 30.1100 271.754 30.2396 0.0405 0.0691 0.0120 2.7110 1.4240 10 2018
271.780 30.1014 271.778 30.2458 0.0509 0.0856 0.0161 1.8376 1.1786 10 2018
271.798 30.1040 271.803 30.2488 0.0402 0.0915 0.0010 1.8532 1.1822 10 2018
271.817 30.1115 271.827 30.2501 0.0577 0.1324 0.0010 3.2019 1.9399 10 2018
271.838 30.1088 271.855 30.2510 0.0361 0.0818 0.0010 2.5437 1.5407 10 2018
271.858 30.1072 271.881 30.2465 0.0264 0.0478 0.0050 2.9055 2.0205 10 2018
271.878 30.1030 271.909 30.2452 0.0458 0.1305 0.0010 3.4483 2.1253 10 2018
271.958 30.1164 271.992 30.2254 0.0346 0.0735 0.0010 3.4542 2.5262 10 2018
271.978 30.1122 272.012 30.2283 0.0521 0.1189 0.0010 3.1275 1.4016 10 2018
271.996 30.1035 272.034 30.2303 0.0606 0.0987 0.0226 2.7632 1.8272 10 2018
272.006 30.0891 272.050 30.2321 0.0560 0.1409 0.0010 2.4297 1.2327 10 2018
271.996 30.0552 272.042 30.2311 0.0485 0.1000 0.0010 2.6226 1.5146 10 2018
272.015 30.0297 272.054 30.2318 0.0562 0.1147 0.0010 2.6976 1.6756 10 2018
272.035 30.0342 272.068 30.2325 0.0460 0.1119 0.0010 3.3763 2.0123 10 2018
272.056 30.0376 272.083 30.2314 0.0487 0.0750 0.0223 3.0881 2.0551 10 2018
272.095 30.0486 272.108 30.2312 0.0248 0.0529 0.0010 6.8115 3.1465 10 2018
272.115 30.0547 272.120 30.2303 0.0234 0.0402 0.0065 3.4141 2.1221 10 2018
272.135 30.0603 272.132 30.2291 0.0344 0.0634 0.0053 4.2298 2.4258 10 2018
272.155 30.0593 272.143 30.2290 0.0214 0.0365 0.0062 3.9606 2.1336 10 2018
272.175 30.0612 272.158 30.2291 0.0388 0.0913 0.0010 3.4934 2.1684 10 2018
272.176 30.0772 272.153 30.2287 0.0322 0.0650 0.0010 3.9861 2.4961 10 2018
272.187 30.0890 272.162 30.2286 0.0366 0.0813 0.0010 4.2013 2.3553 10 2018
272.207 30.0872 272.175 30.2290 0.0354 0.0698 0.0010 4.2411 2.5831 10 2018
272.227 30.0813 272.190 30.2303 0.0289 0.0498 0.0079 4.4179 2.8009 10 2018
272.247 30.0768 272.204 30.2315 0.0443 0.0822 0.0064 4.0868 2.3038 10 2018
272.267 30.0751 272.219 30.2337 0.0620 0.1276 0.0010 4.3946 2.2756 10 2018
272.286 30.0814 272.235 30.2364 0.0641 0.1061 0.0220 4.0232 2.3092 10 2018
272.304 30.0897 272.255 30.2398 0.0648 0.0925 0.0372 4.0016 2.5536 10 2018
272.324 30.0946 272.275 30.2423 0.0386 0.0599 0.0173 3.9402 2.0592 10 2018
272.345 30.0978 272.295 30.2446 0.0609 0.1314 0.0010 3.0788 2.2128 10 2018
272.363 30.1055 272.313 30.2481 0.0272 0.0477 0.0066 2.8982 2.0742 10 2018
272.381 30.1136 272.331 30.2494 0.0321 0.0512 0.0131 4.4155 2.1145 10 2018
272.397 30.1246 272.353 30.2535 0.0284 0.0410 0.0157 3.6356 2.7366 10 2018
272.410 30.1383 272.367 30.2563 0.0447 0.0733 0.0161 4.2985 3.2365 10 2018
272.429 30.1438 272.386 30.2612 0.0445 0.0659 0.0230 3.9919 2.7249 10 2018
272.445 30.1542 272.404 30.2667 0.0313 0.0423 0.0203 4.9010 3.3220 10 2018
272.461 30.1659 272.423 30.2707 0.0257 0.0416 0.0098 3.5671 2.6061 10 2018
272.477 30.1773 272.441 30.2728 0.0360 0.0950 0.0010 2.9062 1.4372 10 2018
272.496 30.1849 272.461 30.2769 0.0302 0.0436 0.0168 4.3766 2.2946 10 2018
272.515 30.1919 272.485 30.2811 0.0381 0.0537 0.0225 4.2152 2.5722 10 2018
