%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on 20210120_1522
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %runup_usefrac    %month    %year
   236.457     38.7636    236.46656     38.76749     0      0.12376      0.22427      0.02325         2.31         1.43  4 1.00     4  2016
   236.460     38.7595    236.46844     38.76221     0      0.07454      0.20677      0.00000         7.10         4.79  4 1.00     4  2016
   236.463     38.7553    236.47158     38.75780     0      0.08687      0.20376      0.00000        15.03         4.51 2A 1.00     4  2016
   236.465     38.7512    236.47451     38.75453     0      0.13121      0.19469      0.06773        17.55         2.66 2A 1.00     4  2016
   236.469     38.7481    236.47467     38.75118     0      0.12926      0.23387      0.02465        15.38         1.37 2A 0.94     4  2016
   236.473     38.7455    236.47836     38.74962     0      0.12429      0.19849      0.05009        11.25         2.47 3A 1.00     4  2016
   236.478     38.7431    236.48155     38.74708     1      0.76736      1.37931      0.15541        13.40        -0.00  5 0.74     4  2016
   236.482     38.7407    236.48345     38.74445     1      0.48856      0.67345      0.30367        13.06        -0.00 2A 0.82     4  2016
   236.486     38.7382    236.48796     38.74122     0      0.05525      0.16670      0.00000         3.49         0.93 2A 0.65     4  2016
   236.490     38.7357    236.49291     38.74124     0      0.10865      0.18199      0.03532        12.55         3.77 2A 1.00     4  2016
   236.495     38.7334    236.49903     38.73905     0      0.11624      0.12150      0.11097         8.77         0.90 2A 0.89     4  2016
   236.499     38.7313    236.50424     38.73779     0      0.10663      0.22075      0.00000        13.02         3.53 2A 1.00     4  2016
   236.504     38.7293    236.50927     38.73481     0      0.11280      0.21764      0.00796        11.06         3.24 3A 1.00     4  2016
   236.508     38.7269    236.51119     38.73071     0      0.06098      0.19347      0.00000         5.23         1.58 2A 0.75     4  2016
   236.512     38.7245    236.51665     38.72704     1      0.41499      0.47275      0.35723         7.69         0.54 2A 0.87     4  2016
   236.521     38.7197    236.52348     38.72342     0      0.10870      0.24026      0.00000        13.24         3.14 2A 1.00     4  2016
   236.525     38.7174    236.52731     38.72252     0      0.13208      0.21982      0.04434        12.92         1.28 2A 0.98     4  2016
   236.530     38.7148    236.53205     38.72018     0      0.11752      0.21114      0.02390        10.33         3.86 2A 1.00     4  2016
   236.534     38.7119    236.53635     38.71820     1      0.50289      0.72513      0.28064         9.02         0.83 2A 0.83     4  2016
   236.538     38.7089    236.54184     38.71410     2      1.36227          NaN          NaN        12.93         0.00 2A 0.66     4  2016
   236.541     38.7057    236.54635     38.70888     0      0.09288      0.09710      0.08866        10.15         0.56 2A 0.69     4  2016
   236.545     38.7025    236.55085     38.70454     0      0.06691      0.18825      0.00000        10.39         1.29 2A 0.99     4  2016
   236.549     38.6991    236.55454     38.70283     0      0.08421      0.16674      0.00168        14.10         2.08 2A 0.99     4  2016
   236.552     38.6952    236.55905     38.69774     0      0.13575      0.22417      0.04733        10.52         1.57 2A 1.00     4  2016
   236.555     38.6911    236.56302     38.69251     0      0.15160      0.20758      0.09562        15.16         2.51 2A 1.00     4  2016
   236.557     38.6870    236.56740     38.68817     0      0.12636      0.20120      0.05152        18.25         1.57 3A 0.99     4  2016
   236.561     38.6832    236.56769     38.68287     0      0.11569      0.18094      0.05045        19.14         2.75 3A 1.00     4  2016
   236.567     38.6762    236.57044     38.67927     2      2.66319          NaN          NaN        14.52        -0.00 2A 0.69     4  2016
   236.571     38.6726    236.57185     38.67767     0      0.08727      0.19499      0.00000        16.22         6.90 2A 1.00     4  2016
   236.574     38.6692    236.57743     38.67505     2      1.35234          NaN          NaN        16.08        -0.00 1A 0.64     4  2016
   236.578     38.6657    236.58370     38.67005     0      0.08634      0.19504      0.00000        17.09         0.73 1A 0.78     4  2016
   236.581     38.6621    236.58805     38.66436     0      0.11421      0.18957      0.03884        18.04         2.15 2A 1.00     4  2016
   236.585     38.6585    236.59172     38.65910     0      0.10889      0.17849      0.03928        15.58         2.26 2A 1.00     4  2016
   236.591     38.6506    236.59617     38.65105     0      0.09531      0.12928      0.06133         7.14         7.14 2A 1.00     4  2016
   236.593     38.6465    236.60067     38.64815     0      0.10126      0.19080      0.01173        23.49         1.20 1A 0.67     4  2016
   236.596     38.6425    236.60027     38.64555     0      0.10882      0.20417      0.01347        18.25         3.43 1A 1.00     4  2016
   236.599     38.6384    236.60444     38.64122     2      1.25734          NaN          NaN        19.42         0.00 1A 0.66     4  2016
   236.602     38.6344    236.60661     38.63671     1      0.49280      0.57619      0.40941        20.62         0.00 1A 0.89     4  2016
   236.605     38.6308    236.61146     38.63351     2      3.38484          NaN          NaN        18.07        -0.00 1A 0.64     4  2016
   236.609     38.6272    236.61276     38.63138     0      0.10796      0.13161      0.08431        18.42         3.49 2A 1.00     4  2016
   236.612     38.6236    236.61416     38.62741     0      0.11972      0.18738      0.05206        15.83         3.79 2A 1.00     4  2016
   236.616     38.6202    236.61813     38.62528     0      0.09866      0.15749      0.03983        24.06         2.96 2A 1.00     4  2016
   236.619     38.6169    236.62539     38.61605     0      0.11494      0.21135      0.01852        15.20         4.51 2A 1.00     4  2016
   236.623     38.6135    236.63338     38.61287     0      0.13606      0.23230      0.03981        29.16         4.88 2A 1.00     4  2016
   236.626     38.6097    236.63281     38.60991     0      0.09492      0.26159      0.00000         9.16         3.05 2A 1.00     4  2016
   236.636     38.5990    236.63761     38.60091     2      1.04040          NaN          NaN         7.16         0.00 2A 0.73     4  2016
   236.640     38.5957    236.64310     38.59741     0      0.09858      0.10923      0.08793        13.46         2.60 2A 1.00     4  2016
   236.644     38.5923    236.64937     38.59717     0      0.12785      0.24544      0.01026        16.86         3.25 2A 1.00     4  2016
   236.647     38.5889    236.65451     38.59126     2      1.31769          NaN          NaN        13.97         0.00 2A 0.64     4  2016
   236.650     38.5852    236.65783     38.58683     0      0.09542      0.24427      0.00000        15.53         3.48 1A 1.00     4  2016
   236.654     38.5814    236.66296     38.58291     2      2.30982          NaN          NaN        17.16        -0.00 1A 0.73     4  2016
   236.657     38.5776    236.66072     38.58054     0      0.06155      0.08705      0.03606         7.82         0.90 1A 0.89     4  2016
   236.660     38.5739    236.66156     38.57359     0      0.08356      0.24021      0.00000        13.02         5.90 2A 1.00     4  2016
   236.663     38.5700    236.66249     38.57097     0      0.08647      0.21902      0.00000         8.95         2.12 2A 1.00     4  2016
   236.669     38.5620    236.66901     38.56643     0      0.10728      0.21376      0.00081        13.03         1.02 2A 1.00     4  2016
   236.672     38.5581    236.67292     38.56493     0      0.11302      0.16720      0.05884        12.11         0.44 2A 0.62     4  2016
   236.676     38.5555    236.68246     38.56007     0      0.12110      0.20564      0.03655        12.31         0.44 6A 0.65     4  2016
   236.681     38.5540    236.68992     38.55679     0      0.10492      0.17499      0.03485        15.32         1.47 1A 1.00     4  2016
   236.685     38.5525    236.69422     38.55608     0      0.12568      0.14918      0.10218        21.48         1.49 1A 1.00     4  2016
   236.694     38.5480    236.69496     38.54956     0      0.09671      0.19108      0.00233         6.02         4.03 2A 1.00     4  2016
   236.698     38.5449    236.69867     38.54767     0      0.08355      0.23758      0.00000        19.26         1.35 2A 0.99     4  2016
   236.701     38.5409    236.70291     38.54366     2      1.55651          NaN          NaN        11.61         0.00 2A 0.71     4  2016
   236.704     38.5370    236.70843     38.54163     0      0.10950      0.15193      0.06707        14.80         2.29 2A 1.00     4  2016
   236.708     38.5347    236.71356     38.54012     0      0.12020      0.25106      0.00000        14.07         1.97 2A 0.98     4  2016
   236.713     38.5332    236.71698     38.53710     0      0.13074      0.14869      0.11279        24.37         4.36 2A 1.00     4  2016
   236.717     38.5307    236.72132     38.53401     0      0.10805      0.22572      0.00000        22.06         5.35 6D 0.67     4  2016
   236.721     38.5277    236.72804     38.53236     0      0.13107      0.24325      0.01890        24.63         2.79 2A 1.00     4  2016
   236.725     38.5247    236.73244     38.52927     0      0.12142      0.22214      0.02069        13.92         4.34  5 1.00     4  2016
   236.729     38.5217    236.73195     38.52484     0      0.09748      0.28525      0.00000        15.74         3.11 2A 1.00     4  2016
   236.733     38.5186    236.73599     38.52171     2      1.14433          NaN          NaN        20.05         0.00 1A 0.70     4  2016
   236.737     38.5157    236.74043     38.51919     0      0.09471      0.23694      0.00000        16.80         3.04 2A 1.00     4  2016
   236.741     38.5128    236.74594     38.51523     0      0.12162      0.24072      0.00253        19.90         3.14 2A 1.00     4  2016
   236.745     38.5105    236.74831     38.51130     0      0.10848      0.23083      0.00000        12.08         3.42 2A 1.00     4  2016
   236.750     38.5088    236.75258     38.51324     0      0.11591      0.19979      0.03202        23.60         3.53 6A 1.00     4  2016
   236.754     38.5065    236.75675     38.51204     0      0.09610      0.29880      0.00000         2.46         1.42  4 1.00     4  2016
   236.758     38.5038    236.76015     38.50947     0      0.08184      0.22705      0.00000        19.91         3.25 6D 1.00     4  2016
   236.762     38.5011    236.76535     38.50720     0      0.14329      0.21094      0.07564        27.18         2.95 2A 1.00     4  2016
   236.766     38.4983    236.76886     38.50382     0      0.13691      0.21274      0.06108        25.02         2.68 2A 1.00     4  2016
