%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on February 20, 2026
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %month    %year
   235.818     43.8632    235.84016     43.85860     0      0.06170      0.08152      0.04187        10.23         3.31  7     4  2016
   235.822     43.8872    235.84481     43.88492     0      0.06880      0.09521      0.04239         6.69         3.23  7     4  2016
   235.823     43.8919    235.84506     43.88941     0      0.04961      0.09538      0.00383        18.30         4.16  7     4  2016
   235.825     43.8964    235.84604     43.89385     0      0.05734      0.10041      0.01426         8.87         3.22  7     4  2016
   235.827     43.9010    235.84655     43.89833     0      0.05140      0.06538      0.03742        18.93         4.17  7     4  2016
   235.828     43.9056    235.84749     43.90273     0      0.07631      0.10131      0.05131        16.76         4.06  7     4  2016
   235.829     43.9104    235.84822     43.90717     0      0.07357      0.09576      0.05138        16.97         4.10  7     4  2016
   235.832     43.9199    235.84943     43.91610     0      0.05006      0.06958      0.03054        16.02         3.81  7     4  2016
   235.832     43.9247    235.85112     43.92493     0      0.08868      0.12516      0.05221        16.79         4.15  7     4  2016
   235.833     43.9296    235.85144     43.92943     0      0.03110      0.08300      0.00000        13.47         3.60  7     4  2016
   235.833     43.9344    235.85246     43.93383     0      0.05185      0.09207      0.01164        15.76         3.63  7     4  2016
   235.834     43.9392    235.85311     43.93826     0      0.06424      0.07818      0.05030        16.78         4.14  7     4  2016
   235.835     43.9441    235.85390     43.94266     0      0.06424      0.08059      0.04788        18.72         4.03  7     4  2016
   235.836     43.9538    235.85552     43.95147     0      0.08315      0.11132      0.05498        16.24         3.62  7     4  2016
   235.838     43.9634    235.85674     43.96041     0      0.05621      0.10908      0.00334        14.48         3.69  7     4  2016
   235.838     43.9682    235.85827     43.96924     0      0.06442      0.08908      0.03976        14.79         3.72  7     4  2016
   235.838     43.9731    235.85883     43.97367     0      0.05126      0.07954      0.02299        16.99         3.45  7     4  2016
   235.837     43.9779    235.85956     43.97808     0      0.08653      0.11525      0.05781        17.95         4.33  7     4  2016
   235.837     43.9828    235.86014     43.98252     0      0.06510      0.08506      0.04514        17.69         3.69  7     4  2016
   235.838     43.9877    235.86067     43.98698     0      0.06132      0.07608      0.04656        17.07         3.59  7     4  2016
   235.839     44.0022    235.86196     44.00038     0      0.06311      0.08672      0.03949        13.08         4.29  7     4  2016
   235.840     44.0071    235.86210     44.00484     0      0.04815      0.06754      0.02876        15.38         3.59  7     4  2016
   235.840     44.0119    235.86180     44.00931     0      0.03890      0.05164      0.02617        11.37         4.26  7     4  2016
   235.841     44.0168    235.86184     44.01376     0      0.04216      0.08586      0.00000        13.68         5.11  7     4  2016
   235.843     44.0262    235.86106     44.02282     0      0.06927      0.11033      0.02821        11.39         5.54  7     4  2016
   235.844     44.0311    235.86368     44.03153     0      0.03497      0.06457      0.00537         9.78         2.76  7     4  2016
   235.844     44.0360    235.86500     44.03593     0      0.03005      0.04329      0.01682         6.11         4.38 3A     4  2016
   235.846     44.0453    235.86575     44.04038     0      0.02969      0.03868      0.02069         7.60         4.66  7     4  2016
   235.849     44.0597    235.86929     44.05677     0      0.05548      0.12215      0.00000        13.44         3.34  7     4  2016
   235.850     44.0694    235.87074     44.06564     0      0.05931      0.08302      0.03560        12.74         3.42  7     4  2016
   235.852     44.0790    235.87278     44.07901     0      0.03849      0.05453      0.02244         9.46         1.51  7     4  2016
   235.853     44.0887    235.87448     44.08789     0      0.04580      0.08606      0.00554        17.50         3.43  7     4  2016
   235.854     44.0984    235.87556     44.09660     0      0.03750      0.05105      0.02394        12.50         3.75  7     4  2016
   235.885     44.3744    235.90779     44.37296     0      0.02386      0.03597      0.01174         6.41         1.00  7     4  2016
   235.887     44.3841    235.90928     44.38098     0      0.02566      0.03388      0.01745         5.45         3.44  7     4  2016
   235.891     44.4081    235.91317     44.40408     0      0.03552      0.04802      0.02303        14.14         3.69  7     4  2016
   235.891     44.4276    235.91558     44.42617     0      0.01921      0.03029      0.00812         5.33         3.68  7     4  2016
   235.892     44.4325    235.91459     44.42879     0      0.03045      0.04651      0.01440         9.14         4.31  7     4  2016
