%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on February 20, 2026
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %month    %year
   235.841     46.7863    235.89600     46.78954     0      0.00611      0.01163      0.00058         7.29         3.41  7     4  2016
   235.840     46.7907    235.89652     46.79909     0      0.00767      0.00903      0.00632         6.85         3.23  7     4  2016
   235.839     46.7951    235.89600     46.80352     0      0.00923      0.01376      0.00471         7.37         3.67  7     4  2016
   235.838     46.7996    235.89587     46.80793     0      0.01158      0.01497      0.00820         7.21         3.62  7     4  2016
   235.836     46.8040    235.89540     46.81247     0      0.01352      0.01820      0.00885         5.48         3.58  7     4  2016
   235.835     46.8084    235.89502     46.81695     0      0.01819      0.02460      0.01178         7.52         3.96  7     4  2016
   235.834     46.8128    235.89423     46.82140     0      0.01451      0.02157      0.00746         7.79         3.37  7     4  2016
   235.832     46.8173    235.89300     46.82671     0      0.02464      0.03161      0.01767         8.30         4.06  7     4  2016
   235.831     46.8217    235.89227     46.83027     0      0.02542      0.02926      0.02157         8.33         3.70  7     4  2016
   235.829     46.8260    235.89017     46.83912     0      0.03532      0.04190      0.02874         8.43         3.65  7     4  2016
   235.827     46.8302    235.88890     46.84352     0      0.03950      0.04899      0.03001         8.26         3.27  7     4  2016
   235.823     46.8383    235.88588     46.85222     0      0.05166      0.06814      0.03517         8.59         3.83  7     4  2016
   235.821     46.8424    235.88428     46.85658     0      0.04045      0.06104      0.01986         7.25         4.03  7     4  2016
   235.818     46.8463    235.88129     46.86533     0      0.09373      0.12685      0.06062         6.60         2.82  7     4  2016
   235.816     46.8501    235.87951     46.86965     0      0.07433      0.10889      0.03977         6.99         3.42  7     4  2016
   235.813     46.8536    235.87554     46.88010     0      0.06793      0.09590      0.03996         6.56         3.84  7     4  2016
   235.807     46.8608    235.87451     46.88271     0      0.04905      0.06779      0.03031         6.04         3.09  7     4  2016
   235.804     46.8644    235.87123     46.89140     0      0.04924      0.06697      0.03150         8.11         3.36  7     4  2016
   235.765     46.9439    235.82498     46.93614     0      0.06250      0.09684      0.02815         9.35         4.18  7     4  2016
   235.767     46.9576    235.82409     46.95481     0      0.03680      0.05259      0.02102         7.86         3.17  7     4  2016
   235.767     46.9623    235.82436     46.96375     0      0.03095      0.03761      0.02429         7.10         2.95  7     4  2016
   235.767     46.9714    235.82434     46.96820     0      0.03143      0.04122      0.02163         7.64         4.50  7     4  2016
   235.767     46.9851    235.82500     46.98166     0      0.02748      0.03700      0.01796         7.52         4.34  7     4  2016
   235.768     46.9897    235.82494     46.98613     0      0.02055      0.02735      0.01376         5.96         2.90  7     4  2016
   235.766     46.9986    235.82524     46.99962     0      0.02193      0.03098      0.01288         6.24         3.90  7     4  2016
   235.766     47.0032    235.82475     47.00412     0      0.01543      0.02201      0.00885         6.23         3.72  7     4  2016
   235.765     47.0076    235.82461     47.01848     0      0.01572      0.01857      0.01286         6.43         3.98  7     4  2016
   235.762     47.0162    235.82441     47.02655     0      0.01721      0.01990      0.01452         6.76         3.75  7     4  2016
   235.760     47.0205    235.82435     47.03104     0      0.01576      0.02293      0.00860         8.43         4.12  7     4  2016
   235.758     47.0294    235.82406     47.03552     0      0.01340      0.02116      0.00564         6.15         3.53  7     4  2016
   235.757     47.0386    235.82376     47.04002     0      0.01621      0.02138      0.01104         7.56         3.67  7     4  2016
   235.757     47.0477    235.82356     47.04450     0      0.01454      0.01862      0.01047         6.26         3.34  7     4  2016
   235.757     47.0522    235.82295     47.05347     0      0.01631      0.01878      0.01383         6.32         3.12  7     4  2016
   235.755     47.0705    235.82147     47.07139     0      0.01697      0.02000      0.01393         6.01         3.63  7     4  2016
   235.754     47.0750    235.82021     47.08033     0      0.01727      0.02019      0.01436         6.13         4.16  7     4  2016
   235.753     47.0842    235.81950     47.08477     0      0.01545      0.01884      0.01207         7.26         2.74  7     4  2016
   235.753     47.0934    235.81822     47.09372     0      0.01993      0.02330      0.01657         7.56         3.99  7     4  2016
   235.752     47.0980    235.81689     47.10356     0      0.01851      0.02153      0.01549         5.16         3.44  7     4  2016
   235.751     47.1117    235.81559     47.11068     0      0.01814      0.02270      0.01359         6.37         3.16  7     4  2016
   235.749     47.1248    235.81357     47.12396     0      0.01589      0.02979      0.00198         5.08         2.66  7     4  2016
   235.725     47.1990    235.79213     47.20901     0      0.01569      0.01956      0.01183        20.88         4.52  7     4  2016
   235.719     47.2210    235.78176     47.23501     0      0.01610      0.02112      0.01107         5.38         3.14  7     4  2016
   235.717     47.2252    235.78054     47.23851     0      0.01731      0.01976      0.01486         5.38         3.44  7     4  2016
   235.683     47.2775    235.75845     47.29011     0      0.01385      0.01889      0.00881         4.88         2.59  7     4  2016
   235.681     47.2815    235.75118     47.29750     0      0.01042      0.01774      0.00311         4.80         3.00  7     4  2016
   235.340     47.9025    235.36221     47.90680     0      0.05609      0.09956      0.01261         5.17         2.92  7     4  2016
   235.268     48.1181    235.29523     48.12297     0      0.02867      0.06367      0.00000         4.47         2.35  7     4  2016
   235.301     48.3278    235.33935     48.33171     0      0.02045      0.03418      0.00672         4.67         2.56  7     4  2016
