%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on 20210120_1519
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %runup_usefrac    %month    %year
   241.865     33.6997    241.89041     33.73901     0      0.01484      0.02103      0.00866         4.37         3.94 1B 1.00     4  2016
   241.869     33.6970    241.89828     33.73611     1      0.12015      0.12405      0.11625         1.73         0.58 1B 0.73     4  2016
   241.876     33.6907    241.91219     33.73006     0      0.09923      0.26514      0.00000         5.08         3.19  4 1.00     4  2016
   241.879     33.6870    241.91788     33.72573     0      0.14744      0.17811      0.11676         3.59         1.63  4 1.00     4  2016
   241.883     33.6839    241.92282     33.72091     1      0.12697      0.13231      0.12163         3.61         0.53 1B 0.86     4  2016
   241.887     33.6809    241.92580     33.71828     0      0.15044      0.23549      0.06538         3.59         1.66  4 1.00     4  2016
   241.891     33.6785    241.92954     33.71503     0      0.10726      0.22292      0.00000         3.06         1.58  4 1.00     4  2016
   241.895     33.6762    241.93738     33.70877     0      0.04735      0.07204      0.02267         2.83         2.18  4 1.00     4  2016
   241.900     33.6743    241.94118     33.70557     0      0.10331      0.16416      0.04247         3.85         1.66  4 1.00     4  2016
   241.904     33.6726    241.94478     33.70222     0      0.08530      0.14756      0.02304         4.01         1.68 3A 1.00     4  2016
   241.909     33.6707    241.94802     33.69876     0      0.13148      0.16816      0.09480         3.86         2.97 3A 1.00     4  2016
   241.913     33.6687    241.95118     33.69498     0      0.12938      0.15799      0.10077         4.26         1.68 3A 1.00     4  2016
   241.917     33.6665    241.95443     33.69139     0      0.10731      0.14213      0.07248         3.37         2.47 1B 0.99     4  2016
   241.921     33.6637    241.95720     33.68864     0      0.12498      0.19399      0.05597         2.84         1.08 3A 1.00     4  2016
   241.925     33.6609    241.95992     33.68584     0      0.15212      0.18012      0.12411         3.72         1.59 3A 1.00     4  2016
   241.929     33.6586    241.96268     33.68314     0      0.13200      0.28714      0.00000         5.62         3.48 1B 1.00     4  2016
   241.933     33.6561    241.96524     33.68131     0      0.13212      0.19012      0.07411         4.97         1.66 3A 0.73     4  2016
   241.937     33.6530    241.96883     33.67801     0      0.14478      0.23077      0.05878         7.78         4.09 6B 1.00     4  2016
   241.941     33.6498    241.97183     33.67529     0      0.10397      0.22845      0.00000         4.96         4.00 6B 1.00     4  2016
   241.945     33.6474    241.97576     33.67220     0      0.07978      0.10711      0.05245         7.27         2.94 1B 1.00     4  2016
   241.949     33.6450    241.97893     33.66975     0      0.05066      0.08291      0.01842        10.22         2.27 1B 1.00     4  2016
   241.953     33.6428    241.98208     33.66730     0      0.08301      0.18647      0.00000         6.14         4.31 6B 1.00     4  2016
   241.958     33.6406    241.98515     33.66479     0      0.05428      0.14571      0.00000         3.75         0.54 1B 0.78     4  2016
   241.962     33.6386    241.98820     33.66220     0      0.08341      0.18240      0.00000         3.40         0.57 1B 0.81     4  2016
   241.967     33.6368    241.99114     33.65967     0      0.02789      0.07289      0.00000         9.91         4.11 3A 1.00     4  2016
   241.971     33.6347    241.99413     33.65704     0      0.02763      0.08739      0.00000         4.96         3.56 3A 1.00     4  2016
   241.975     33.6326    241.99749     33.65460     0      0.02799      0.14465      0.00000         8.40         3.09 1B 1.00     4  2016
   241.980     33.6305    242.00126     33.65272     0      0.05283      0.22949      0.00000         3.27         3.02 1B 1.00     4  2016
   241.984     33.6282    242.00469     33.65063     1      0.16027      0.18144      0.13911         2.90         0.56 1B 0.81     4  2016
   241.988     33.6260    242.00894     33.64786     1      0.16723      0.19769      0.13678         3.13         0.71 1B 0.76     4  2016
   241.993     33.6238    242.01227     33.64559     1      0.17080      0.20016      0.14145         3.11         0.53 1B 0.85     4  2016
   241.997     33.6217    242.01575     33.64334     1      0.10389      0.10995      0.09783         0.88         0.56 1B 0.75     4  2016
   242.001     33.6196    242.02002     33.64062     1      0.08955      0.09276      0.08634         2.49         0.54 1B 0.72     4  2016
   242.006     33.6175    242.02344     33.63846     1      0.10669      0.11254      0.10084         2.44         0.57 1B 0.74     4  2016
   242.010     33.6157    242.02714     33.63634     0      0.07690      0.21087      0.00000         2.57         1.76 1B 0.97     4  2016
   242.015     33.6138    242.03149     33.63406     0      0.06133      0.09556      0.02711         2.66         0.60 1B 0.84     4  2016
   242.019     33.6119    242.03501     33.63201     0      0.06989      0.14901      0.00000         1.50         0.59 1B 0.84     4  2016
   242.023     33.6099    242.03871     33.63008     0      0.09957      0.26074      0.00000         1.71         0.58 3A 1.00     4  2016
   242.028     33.6077    242.04351     33.62782     0      0.04794      0.14941      0.00000         2.33         0.57 1B 0.81     4  2016
   242.032     33.6054    242.04919     33.62514     1      0.13482      0.14977      0.11988         3.33         0.59 1B 0.79     4  2016
   242.037     33.6037    242.05463     33.62232     0      0.01592      0.16253      0.00000         2.31         0.54 1B 0.80     4  2016
   242.041     33.6021    242.05987     33.61937     0      0.06659      0.20021      0.00000         1.56         0.58 1B 0.84     4  2016
   242.046     33.6004    242.06280     33.61680     0      0.08018      0.11527      0.04509         2.94         0.56 1B 0.85     4  2016
   242.050     33.5985    242.06536     33.61388     0      0.07109      0.09951      0.04266         2.65         0.57 1B 0.84     4  2016
   242.055     33.5973    242.06802     33.61104     0      0.07397      0.08861      0.05934         1.91         0.54 1B 0.83     4  2016
   242.059     33.5978    242.06981     33.60874     0      0.07721      0.10960      0.04483         2.37         2.37 1B 1.00     4  2016
   242.064     33.5980    242.07172     33.60664     0      0.09355      0.16492      0.02218         1.01         0.56  4 1.00     4  2016
   242.069     33.5974    242.07475     33.60573     0      0.06759      0.08229      0.05288         2.45         1.63  4 1.00     4  2016
   242.074     33.5969    242.07793     33.60532     0      0.09388      0.18549      0.00228         2.84         1.67  4 1.00     4  2016
   242.079     33.5959    242.08211     33.60438     0      0.11873      0.15741      0.08005         3.17         1.66  4 1.00     4  2016
   242.083     33.5949    242.08619     33.60325     0      0.11545      0.20675      0.02416         1.92         0.34  4 1.00     4  2016
   242.088     33.5944    242.09148     33.60219     0      0.12636      0.19401      0.05872         2.15         1.00  4 1.00     4  2016
   242.093     33.5941    242.09557     33.60124     0      0.12326      0.22489      0.02163         4.14         0.25  4 1.00     4  2016
   242.098     33.5935    242.10062     33.59970     0      0.14357      0.21388      0.07326         3.89         1.44 1B 0.80     4  2016
   242.102     33.5926    242.10464     33.59826     0      0.12205      0.19620      0.04790         3.72         2.39  4 1.00     4  2016
   242.107     33.5916    242.10942     33.59647     0      0.09756      0.19536      0.00000         3.45         2.50 1B 1.00     4  2016
   242.112     33.5901    242.11444     33.59453     0      0.10110      0.22819      0.00000         3.12         2.08 1B 0.99     4  2016
   242.125     33.5848    242.12879     33.59141     0      0.09628      0.22941      0.00000         9.50         1.94 2A 0.98     4  2016
   242.130     33.5827    242.13254     33.58837     0      0.09978      0.24934      0.00000         6.81         3.31 2A 1.00     4  2016
   242.134     33.5806    242.13586     33.58478     0      0.09032      0.22537      0.00000         2.84         0.57 2A 0.79     4  2016
   242.138     33.5783    242.14193     33.58262     0      0.08253      0.11503      0.05003        13.59         2.23  4 1.00     4  2016
   242.143     33.5761    242.14617     33.57999     0      0.11088      0.26579      0.00000        12.79         2.86 2A 1.00     4  2016
   242.147     33.5740    242.15116     33.57825     0      0.08560      0.12085      0.05036        17.89         2.23  4 1.00     4  2016
   242.151     33.5718    242.15591     33.57612     0      0.07626      0.09857      0.05395        20.49         1.92  4 1.00     4  2016
   242.155     33.5692    242.15923     33.57395     0      0.04879      0.10594      0.00000         3.34         1.66  4 1.00     4  2016
   242.159     33.5663    242.16282     33.57063     0      0.08886      0.14877      0.02895        20.46         2.23 2A 1.00     4  2016
   242.163     33.5635    242.16666     33.56644     0      0.09313      0.16977      0.01649        22.53         3.20 3A 1.00     4  2016
   242.167     33.5608    242.17232     33.56400     0      0.09521      0.22778      0.00000        21.17         2.12 3A 1.00     4  2016
   242.171     33.5581    242.17586     33.56197     0      0.08057      0.15268      0.00845        16.45         1.73 3A 1.00     4  2016
   242.175     33.5554    242.17941     33.55852     0      0.03406      0.05909      0.00903        13.91         2.68 3A 1.00     4  2016
   242.179     33.5527    242.18025     33.55408     0      0.08380      0.18338      0.00000        21.09         1.79 2A 1.00     4  2016
   242.183     33.5499    242.18551     33.55271     0      0.07886      0.14659      0.01114        19.69         3.54 1B 1.00     4  2016
   242.187     33.5473    242.18961     33.55204     0      0.06577      0.13083      0.00070        16.94         1.60  4 1.00     4  2016
   242.192     33.5453    242.19279     33.54850     0      0.08003      0.17333      0.00000         3.72         2.69 2A 1.00     4  2016
   242.196     33.5433    242.19769     33.54670     0      0.06398      0.10913      0.01883         2.79         1.74  4 0.98     4  2016
   242.200     33.5413    242.20286     33.54529     0      0.05677      0.17563      0.00000        11.11         2.23 2A 1.00     4  2016
   242.205     33.5393    242.20873     33.54336     0      0.11995      0.24614      0.00000        13.51         1.69 6A 1.00     4  2016
   242.209     33.5366    242.21301     33.54266     0      0.10933      0.18412      0.03454        10.04         1.59  4 0.89     4  2016
   242.213     33.5338    242.21707     33.54002     0      0.11516      0.14299      0.08732         6.38         4.47 1B 1.00     4  2016
   242.216     33.5307    242.22065     33.53552     0      0.11191      0.14657      0.07725        15.12         1.97 6B 1.00     4  2016
   242.220     33.5277    242.22434     33.53116     0      0.11832      0.16690      0.06974         2.28         0.59  4 0.61     4  2016
   242.224     33.5246    242.22878     33.52711     0      0.10357      0.21412      0.00000        10.39         2.81 1B 1.00     4  2016
   242.228     33.5214    242.23296     33.52428     0      0.08367      0.16118      0.00615        16.78        -0.32 2A 0.82     4  2016
   242.231     33.5180    242.23553     33.52039     0      0.08780      0.21705      0.00000        16.96         1.63 2A 1.00     4  2016
   242.234     33.5145    242.23821     33.51758     0      0.07147      0.09488      0.04806        15.29         3.42  4 1.00     4  2016
   242.238     33.5111    242.24135     33.51433     0      0.11409      0.25904      0.00000        15.39         4.44  4 1.00     4  2016
   242.241     33.5076    242.24557     33.51161     0      0.06380      0.14261      0.00000        16.71         2.16 2A 1.00     4  2016
   242.245     33.5042    242.24860     33.50785     0      0.07086      0.17905      0.00000        16.02         4.20  4 1.00     4  2016
   242.248     33.5007    242.25233     33.50345     0      0.05732      0.12933      0.00000        26.77         3.50  4 1.00     4  2016
   242.251     33.4971    242.25632     33.49918     0      0.09018      0.15230      0.02805        18.40         3.19  4 1.00     4  2016
   242.254     33.4934    242.25976     33.49567     0      0.05587      0.08681      0.02493        23.47         3.97 2A 1.00     4  2016
   242.257     33.4896    242.26145     33.49197     0      0.06493      0.16155      0.00000        21.43         2.78 2A 1.00     4  2016
   242.260     33.4857    242.26483     33.48866     0      0.07422      0.11859      0.02985        26.62         3.49 3A 1.00     4  2016
   242.263     33.4817    242.26873     33.48440     0      0.12610      0.22870      0.02350        23.56         2.60 6B 1.00     4  2016
   242.265     33.4776    242.27382     33.48315     0      0.09590      0.17567      0.01613         9.45         1.88 6B 1.00     4  2016
   242.268     33.4737    242.27603     33.47918     0      0.08663      0.11463      0.05863        14.79         3.51 6B 1.00     4  2016
   242.271     33.4697    242.27818     33.47408     0      0.05482      0.18963      0.00000        20.51         3.97  4 1.00     4  2016
   242.273     33.4655    242.28232     33.46873     0      0.11274      0.18335      0.04213         9.91         1.27 6B 0.98     4  2016
   242.276     33.4613    242.28417     33.46549     0      0.09544      0.11914      0.07174        12.45         5.11 6B 1.00     4  2016
   242.279     33.4576    242.28508     33.46299     0      0.09764      0.12749      0.06779        13.37         2.66  4 1.00     4  2016
   242.282     33.4539    242.28477     33.46054     0      0.12537      0.23079      0.01995        31.20         2.55 2A 1.00     4  2016
