%USGS SPCMSC mean beach slope derived from lidar surveys from 1998 to 2018, dunes from 2018 in LMSL, ver 1 Compiled 9/24/19 
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low  dhigh   dlow month year
275.681 29.6526 275.666 29.9247 0.0587 0.0717 0.0457 3.0676 1.7106 10 2018
275.660 29.6535 275.664 29.9164 0.1053 0.1665 0.0442 2.3616 1.4186 10 2018
275.640 29.6495 275.663 29.9121 0.0876 0.1061 0.0691 2.6908 1.6948 10 2018
275.620 29.6435 275.659 29.9040 0.0659 0.0870 0.0448 3.0570 2.0600 10 2018
275.601 29.6381 275.656 29.9005 0.0733 0.0962 0.0504 2.3461 1.4451 10 2018
275.580 29.6356 275.652 29.8979 0.0867 0.1362 0.0372 3.1430 2.0040 10 2018
275.438 29.6077 275.395 29.7977 0.0913 0.1527 0.0299 3.1985 2.0915 10 2018
275.420 29.5997 275.386 29.7938 0.0827 0.1435 0.0219 4.5840 2.4360 10 2018
275.403 29.5891 275.378 29.7913 0.0639 0.1178 0.0100 2.8596 1.6926 10 2018
275.355 29.5576 275.354 29.7840 0.0524 0.1192 0.0010 1.8454 1.4164 10 2018
275.332 29.5762 275.336 29.7796 0.0562 0.1087 0.0036 1.9106 1.5486 10 2018
275.299 29.5557 275.300 29.7585 0.0463 0.0898 0.0029 2.6930 1.7840 10 2018
275.285 29.5430 275.294 29.7531 0.0233 0.0362 0.0103 3.7758 2.2748 10 2018
275.252 29.5251 275.281 29.7409 0.0366 0.0560 0.0172 2.0323 1.3823 10 2018
275.232 29.5293 275.275 29.7353 0.0316 0.0448 0.0185 2.8250 1.8630 10 2018
275.213 29.5255 275.268 29.7291 0.0346 0.0496 0.0196 2.6729 1.8539 10 2018
275.183 29.5014 275.257 29.7214 0.0386 0.0533 0.0239 5.7643 2.0593 10 2018
275.168 29.4888 275.250 29.7164 0.0467 0.0663 0.0270 7.4878 2.1778 10 2018
275.153 29.4764 275.243 29.7109 0.0391 0.0544 0.0238 7.4332 2.1892 10 2018
275.137 29.4647 275.241 29.7080 0.0384 0.0497 0.0271 8.4915 2.2335 10 2018
275.121 29.4543 275.237 29.7022 0.0326 0.0439 0.0214 2.8626 1.7426 10 2018
275.083 29.4398 275.222 29.6927 0.0259 0.0398 0.0121 2.1488 1.4888 10 2018
275.063 29.4346 275.213 29.6882 0.0342 0.0457 0.0227 3.8457 1.9647 10 2018
275.044 29.4278 275.205 29.6843 0.0321 0.0554 0.0088 2.4963 1.7573 10 2018
275.027 29.4186 275.198 29.6811 0.0389 0.0554 0.0224 3.1998 1.7998 10 2018
275.009 29.4093 275.176 29.6738 0.0598 0.1173 0.0023 3.3893 2.2533 10 2018
