%USGS SPCMSC mean beach slope derived from lidar surveys from 2000-2013
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low %dhigh  %dlow
289.495 41.9090 289.468 41.8897 0.2204 0.3086 0.1322 17.5833 4.2816
289.490 41.9160 289.453 41.9091 0.1931 0.4023 0.0010 24.6091 4.4373
289.486 41.9250 289.459 41.9197 0.1853 0.2859 0.0848 16.0158 3.9478
289.481 41.9320 289.460 41.9225 0.1755 0.2837 0.0674 14.8290 4.0658
289.476 41.9390 289.461 41.9266 0.3221 0.4475 0.1966 13.7220 4.3705
289.468 41.9430 289.456 41.9263 0.0678 0.1177 0.0179 5.9355 3.5592
289.461 41.9490 289.450 41.9281 0.0575 0.0786 0.0363 5.4880 3.1619
289.456 41.9560 289.441 41.9332 0.0758 0.1049 0.0468 8.1628 3.1934
289.449 41.9620 289.432 41.9392 0.1982 0.3360 0.0605 12.4350 2.6976
289.434 41.9710 289.419 41.9482 0.1408 0.1798 0.1017 11.6548 3.3520
289.427 41.9760 289.414 41.9500 0.1641 0.2182 0.1099 10.1167 3.0034
289.421 41.9930 289.362 41.9593 0.0747 0.0908 0.0585 3.4783 2.6713
289.414 41.9970 289.357 41.9675 0.0560 0.0786 0.0333 4.8914 3.0760
289.413 42.0060 289.353 41.9758 0.0329 0.0556 0.0103 5.1149 3.3812
289.412 42.0150 289.400 42.0055 0.1330 0.1950 0.0710 7.9865 2.7926
289.407 42.0220 289.396 42.0085 0.0753 0.1085 0.0421 5.1211 3.0191
289.404 42.0310 289.388 42.0156 0.0898 0.1257 0.0539 5.0904 3.4830
289.401 42.0390 289.382 42.0232 0.0927 0.1321 0.0534 4.7481 3.2477
289.398 42.0480 289.379 42.0269 0.0641 0.0838 0.0443 4.7910 3.1440
289.397 42.0570 289.375 42.0303 0.0593 0.0808 0.0377 4.6610 3.0171
289.396 42.0660 289.354 42.0573 0.0704 0.0889 0.0520 4.9460 3.3029
289.394 42.0740 289.351 42.0706 0.1297 0.2747 0.0010 4.8244 2.7426
