%USGS SPCMSC mean beach slope derived from lidar surveys from 1996-2012
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low %dhigh %dlow
284.383 36.0182 284.353 36.0015 0.0853 0.1160 0.0547 7.2316 3.5925
284.381 36.0227 284.350 36.0060 0.0806 0.1096 0.0516 7.2845 3.5153
284.379 36.0273 284.347 36.0105 0.0819 0.1093 0.0544 7.3177 3.6578
284.378 36.0318 284.345 36.0141 0.0890 0.1234 0.0547 6.8283 3.6098
284.376 36.0364 284.343 36.0186 0.0913 0.1163 0.0662 6.8384 3.5903
284.374 36.0409 284.340 36.0226 0.1090 0.1541 0.0639 7.0969 3.5327
284.373 36.0455 284.338 36.0266 0.1185 0.1776 0.0594 6.5239 3.4072
284.372 36.0500 284.335 36.0301 0.1033 0.1508 0.0559 5.7380 3.2364
284.369 36.0545 284.332 36.0344 0.0993 0.1464 0.0522 5.4319 3.1670
284.367 36.0591 284.329 36.0388 0.0831 0.1092 0.0569 5.6302 3.1997
284.367 36.0636 284.327 36.0420 0.0827 0.1260 0.0395 5.4562 2.8999
284.365 36.0682 284.324 36.0463 0.0945 0.1445 0.0444 5.2766 2.6634
284.364 36.0727 284.322 36.0498 0.0728 0.1028 0.0428 4.7722 2.5121
284.361 36.0773 284.319 36.0546 0.0863 0.1276 0.0449 5.0023 2.4067
284.361 36.0818 284.316 36.0577 0.0996 0.1622 0.0369 5.2933 2.6641
284.357 36.0955 284.309 36.0696 0.0733 0.1097 0.0368 5.0165 3.1443
284.352 36.1000 284.305 36.0747 0.0803 0.1085 0.0520 4.7957 3.1709
284.354 36.1045 284.304 36.0771 0.0949 0.1344 0.0553 4.5908 3.0477
284.347 36.1091 284.300 36.0836 0.0870 0.1144 0.0595 4.2742 2.6017
284.348 36.1136 284.298 36.0864 0.0981 0.1367 0.0595 4.3042 2.6892
284.345 36.1182 284.295 36.0913 0.1015 0.1475 0.0555 4.5091 2.9141
284.344 36.1227 284.293 36.0949 0.0979 0.1262 0.0696 4.4916 2.9181
284.330 36.1273 284.287 36.1043 0.1099 0.1469 0.0728 6.1669 3.7179
284.326 36.1318 284.285 36.1092 0.1062 0.1403 0.0721 6.2863 3.7996
284.325 36.1364 284.282 36.1134 0.1091 0.1444 0.0737 6.3900 3.8932
284.328 36.1409 284.281 36.1159 0.1100 0.1464 0.0736 6.5078 3.9557
284.330 36.1455 284.280 36.1183 0.1105 0.1445 0.0765 6.5290 3.9568
284.329 36.1500 284.278 36.1225 0.1113 0.1459 0.0768 6.5745 3.9584
284.316 36.1545 284.273 36.1311 0.1213 0.1612 0.0814 6.5720 4.1541
284.315 36.1591 284.271 36.1353 0.1236 0.1541 0.0931 6.7501 4.1094
284.314 36.1636 284.269 36.1390 0.1185 0.1468 0.0902 6.7188 3.8815
284.316 36.1682 284.267 36.1419 0.1135 0.1539 0.0730 6.6161 3.8370
284.314 36.1727 284.265 36.1466 0.1138 0.1465 0.0810 6.5932 4.0755
284.312 36.1773 284.263 36.1507 0.1234 0.1716 0.0752 6.5791 4.1138
284.303 36.1818 284.260 36.1583 0.1158 0.1555 0.0761 6.4581 4.0664
284.301 36.1864 284.258 36.1629 0.1174 0.1548 0.0799 6.5196 3.9661
284.299 36.1909 284.256 36.1676 0.1293 0.1731 0.0856 6.9001 3.9811
284.297 36.1955 284.254 36.1723 0.1152 0.1683 0.0622 7.0765 3.9675
284.298 36.2000 284.253 36.1753 0.1024 0.1485 0.0564 7.0707 3.8768
284.298 36.2045 284.251 36.1792 0.0834 0.1153 0.0515 6.9931 3.6104
284.300 36.2091 284.250 36.1821 0.0911 0.1384 0.0438 6.8768 3.4003
284.290 36.2136 284.246 36.1901 0.1159 0.1538 0.0780 5.9870 3.3736
284.290 36.2182 284.245 36.1935 0.1171 0.1541 0.0802 5.9457 3.4540
284.295 36.2227 284.244 36.1952 0.1196 0.1611 0.0782 6.0411 3.5331
284.289 36.2273 284.241 36.2016 0.1076 0.1596 0.0556 5.9259 3.5183
284.287 36.2318 284.239 36.2058 0.0961 0.1356 0.0566 6.1659 3.7199
284.286 36.2364 284.237 36.2100 0.0914 0.1323 0.0505 6.4363 3.8143
284.286 36.2409 284.235 36.2138 0.0909 0.1271 0.0547 6.5706 3.7252
284.286 36.2455 284.234 36.2171 0.1058 0.1470 0.0647 6.6962 3.7944
284.286 36.2500 284.232 36.2209 0.1132 0.1441 0.0823 6.6085 3.8274
284.284 36.2545 284.230 36.2252 0.1146 0.1404 0.0889 6.4609 3.6270
284.287 36.2591 284.229 36.2277 0.1131 0.1421 0.0841 6.4138 3.6108
284.284 36.2636 284.227 36.2328 0.1003 0.1379 0.0628 6.8100 3.9796
284.286 36.2682 284.226 36.2353 0.1032 0.1440 0.0623 7.0836 4.0530
284.284 36.2727 284.223 36.2400 0.0978 0.1290 0.0666 6.9904 4.0196
284.287 36.2773 284.222 36.2426 0.0947 0.1284 0.0610 6.7579 4.0067
