%USGS SPCMSC mean beach slope derived from lidar surveys from 2007-2014
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low %dhigh  %dlow
285.844 39.4000 285.740 39.5337 0.0886 0.1225 0.0547 5.1648 3.1197
285.850 39.4055 285.742 39.5378 0.0933 0.1260 0.0606 5.0695 2.7628
285.858 39.4167 285.745 39.5416 0.0750 0.0949 0.0550 5.4894 3.2811
285.867 39.4301 285.748 39.5454 0.0700 0.1028 0.0371 5.2855 3.0852
285.872 39.4333 285.752 39.5490 0.0747 0.1159 0.0334 4.7073 2.8198
285.870 39.4500 285.759 39.5555 0.0754 0.1032 0.0476 5.0878 3.0084
285.874 39.4667 285.763 39.5592 0.0779 0.1065 0.0492 5.5827 3.3934
285.883 39.4803 285.766 39.5630 0.0751 0.1046 0.0457 5.4622 3.3100
285.885 39.4833 285.769 39.5670 0.0732 0.0971 0.0493 5.5996 3.4085
285.894 39.5000 285.777 39.5790 0.0758 0.1280 0.0236 5.7801 3.0759
285.900 39.5088 285.791 39.5985 0.0794 0.1105 0.0483 5.6507 3.3621
285.908 39.5167 285.794 39.6024 0.0789 0.1133 0.0445 6.2785 3.4385
285.917 39.5276 285.799 39.6104 0.0873 0.1455 0.0291 5.0627 3.0177
285.919 39.5333 285.808 39.6221 0.0519 0.0981 0.0058 5.8844 3.0772
285.933 39.5477 285.813 39.6299 0.0522 0.1107 0.0010 6.6142 3.2302
285.935 39.5500 285.816 39.6338 0.0565 0.1079 0.0052 6.8325 3.6033
285.950 39.5648 285.834 39.6570 0.0646 0.1023 0.0270 6.9419 3.1580
285.951 39.5667 285.837 39.6609 0.0659 0.1025 0.0293 6.8417 3.1123
285.959 39.5833 285.840 39.6647 0.0652 0.0979 0.0324 6.8890 3.1451
285.950 39.5920 285.843 39.6687 0.0672 0.1061 0.0283 5.7858 3.4023
285.917 39.5760 285.828 39.6494 0.0601 0.0784 0.0417 6.5152 3.8299
285.896 39.5833 285.819 39.6378 0.0647 0.1224 0.0071 6.7826 3.6607
285.900 39.5877 285.822 39.6418 0.0652 0.1010 0.0294 6.7785 3.7282
285.917 39.5888 285.831 39.6532 0.0606 0.0954 0.0258 6.7995 3.2602
285.933 39.6085 285.848 39.6765 0.0750 0.1205 0.0295 5.2341 3.3628
285.943 39.6167 285.855 39.6840 0.0514 0.0944 0.0083 5.4686 3.1863
285.950 39.6234 285.858 39.6878 0.0562 0.1061 0.0062 6.6441 3.2673
285.957 39.6333 285.860 39.6919 0.0501 0.0859 0.0142 6.6377 3.1494
285.950 39.6445 285.863 39.6959 0.0484 0.0877 0.0091 6.6293 2.9594
285.947 39.6500 285.865 39.7000 0.0470 0.0864 0.0075 6.6983 3.2373
285.950 39.6537 285.867 39.7041 0.0485 0.0991 0.0010 6.8361 3.6039
285.963 39.6667 285.872 39.7124 0.0521 0.0987 0.0055 6.7195 3.8779
285.967 39.6722 285.873 39.7166 0.0650 0.1125 0.0175 6.0838 3.6324
285.978 39.6833 285.875 39.7209 0.0727 0.1145 0.0309 5.3458 3.3496
285.981 39.7000 285.877 39.7250 0.0731 0.1091 0.0372 6.0315 3.6549
285.983 39.7055 285.880 39.7291 0.0758 0.1073 0.0443 5.7966 3.5089
285.987 39.7000 285.882 39.7332 0.0708 0.1013 0.0403 6.6048 3.7579
