%USGS SPCMSC mean beach slope derived from lidar surveys from 1996-2012
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low %dhigh  %dlow
279.961 26.8950 279.944 26.8901 0.0725 0.1286 0.0164 7.3344 2.0254
279.961 26.8959 279.944 26.8909 0.0748 0.1322 0.0174 7.2200 2.3932
279.961 26.8968 279.944 26.8914 0.0763 0.1330 0.0195 7.0823 2.6104
279.961 26.8977 279.944 26.8923 0.0790 0.1341 0.0240 6.7489 2.9843
279.960 26.8986 279.943 26.8936 0.0825 0.1383 0.0267 6.2806 3.3577
279.960 26.8995 279.943 26.8945 0.0848 0.1438 0.0257 6.1624 3.5204
279.960 26.9004 279.943 26.8953 0.0874 0.1507 0.0240 6.2196 3.6654
279.960 26.9013 279.943 26.8962 0.0915 0.1600 0.0230 6.3719 3.8192
279.959 26.9022 279.942 26.8971 0.0944 0.1677 0.0210 6.6319 3.8823
279.959 26.9031 279.942 26.8980 0.0932 0.1586 0.0278 6.6958 3.8690
279.958 26.9040 279.942 26.8993 0.0945 0.1454 0.0436 6.7587 3.7710
279.958 26.9049 279.942 26.8997 0.0960 0.1474 0.0445 6.8101 3.7463
279.958 26.9058 279.941 26.9006 0.0987 0.1561 0.0414 6.9252 3.7083
279.957 26.9067 279.941 26.9019 0.1013 0.1685 0.0340 7.1230 3.6748
279.957 26.9076 279.941 26.9027 0.1014 0.1731 0.0297 7.2775 3.6656
279.957 26.9085 279.940 26.9036 0.1001 0.1742 0.0260 7.4540 3.6622
279.957 26.9094 279.940 26.9044 0.0975 0.1708 0.0242 7.6467 3.6592
279.957 26.9103 279.940 26.9048 0.0959 0.1674 0.0244 7.7344 3.6409
279.957 26.9112 279.939 26.9057 0.0928 0.1590 0.0267 7.8636 3.5015
279.957 26.9121 279.939 26.9065 0.0914 0.1506 0.0322 7.9893 3.2754
279.956 26.9130 279.939 26.9078 0.0921 0.1427 0.0415 8.2846 2.9865
279.956 26.9139 279.938 26.9087 0.0928 0.1453 0.0403 8.6212 2.8171
279.956 26.9148 279.938 26.9096 0.0937 0.1515 0.0359 9.0243 2.6925
279.957 26.9157 279.938 26.9100 0.0942 0.1541 0.0343 9.2270 2.6604
279.957 26.9166 279.938 26.9109 0.0952 0.1567 0.0337 9.5619 2.6840
279.957 26.9175 279.937 26.9117 0.0962 0.1560 0.0365 9.7478 2.8263
279.957 26.9184 279.937 26.9126 0.0970 0.1531 0.0409 9.5923 3.0911
279.957 26.9193 279.937 26.9131 0.0972 0.1511 0.0433 9.3279 3.2593
279.957 26.9202 279.937 26.9139 0.0975 0.1458 0.0492 8.5836 3.6146
279.957 26.9211 279.937 26.9148 0.0973 0.1395 0.0552 7.9552 3.8675
279.957 26.9220 279.936 26.9156 0.0958 0.1346 0.0570 7.6410 3.9198
279.957 26.9229 279.936 26.9165 0.0928 0.1315 0.0541 7.5130 3.8467
279.957 26.9238 279.936 26.9173 0.0893 0.1292 0.0494 7.3332 3.7555
279.956 26.9247 279.935 26.9182 0.0855 0.1277 0.0434 6.9773 3.6681
279.956 26.9256 279.935 26.9191 0.0818 0.1280 0.0357 6.5088 3.5969
279.956 26.9265 279.935 26.9200 0.0784 0.1300 0.0268 6.0351 3.5517
279.955 26.9274 279.935 26.9213 0.0751 0.1304 0.0199 5.5413 3.5677
279.954 26.9283 279.934 26.9221 0.0743 0.1234 0.0251 5.4779 3.6338
279.954 26.9292 279.934 26.9230 0.0739 0.1115 0.0363 5.7188 3.7103
279.954 26.9301 279.934 26.9239 0.0734 0.1007 0.0462 6.2987 3.7235
279.954 26.9310 279.933 26.9248 0.0731 0.0974 0.0488 6.9507 3.5829
279.954 26.9319 279.933 26.9256 0.0732 0.0993 0.0471 7.2420 3.2739
279.955 26.9328 279.933 26.9260 0.0732 0.1006 0.0458 7.2374 3.0819
279.955 26.9337 279.933 26.9269 0.0730 0.1026 0.0434 7.0869 2.7104
279.955 26.9346 279.932 26.9278 0.0725 0.1032 0.0418 6.8423 2.4213
279.955 26.9355 279.932 26.9286 0.0720 0.1030 0.0411 6.5294 2.2895
279.955 26.9364 279.932 26.9295 0.0721 0.1038 0.0404 6.1750 2.2969
279.955 26.9373 279.932 26.9304 0.0734 0.1092 0.0376 5.8928 2.2274
279.955 26.9382 279.932 26.9313 0.0766 0.1213 0.0320 5.8397 1.9942
279.955 26.9391 279.932 26.9317 0.0791 0.1289 0.0293 5.8101 1.8988
279.955 26.9400 279.931 26.9326 0.0847 0.1431 0.0263 5.7033 1.8123
