#NOAA's Vertical Datum Transformation v3.4
#
#                           INPUT                      OUTPUT                     
#Coordinate System:         Geographic                 Geographic                 
#Horizontal Datum:          NAD83                      NAD83                      
#Vertical Datum:            NAVD88                     MTL                        
#Vertical Unit:             m                          m                          
#Height/Sounding:           height                     height 
-96.7050000 26.7600000 -0.0658     #BRO
-96.7500000 27.7500000 -0.1004     #CRP
-95.3850000 28.7500000 -0.1241     #HGX
-92.7300000 28.8550000 -0.0970     #LCH
-89.6000000 29.0500000 -0.1970     #LIX
-87.5000000 29.7500000 -0.0714     #MOB
-85.2500000 29.0000000 0.0448      #TAE
-82.9900000 27.7350000 0.1145      #TBW
-79.9750000 25.9000000 0.2800      #MFL
-81.2500000 24.5000000 0.2698      #KEY
-79.9500000 28.2500000 0.3062      #MLB
-80.5000000 30.3500000 0.1750      #JAX
-66.0000000 18.7500000 -0.0037     #SJU
-79.9000000 32.1250000 0.1116      #CHS
-78.4500000 33.6500000 0.1249      #ILM
-75.3750000 35.2250000 0.1201      #MHX
-75.3750000 37.7000000 0.1096      #AKQ
-76.1000000 37.7250000 0.0937      #LWX
-74.5000000 39.2500000 0.1009      #PHI
-72.7500000 40.5750000 0.0977      #OKX
-70.2750000 41.8500000 0.1783      #BOX
-69.8000000 43.5500000 0.1326      #GYX
-67.7500000 44.3000000 0.2995      #CAR
